type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Switchboard Installation,,,,,,Switchboard Installation
checkpoint,Wall Available for Mounting Switchboard,,,,,,
checkpoint,Switchboard Installed on Wall,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,Switchboard Energisation,,,,,,Switchboard Energisation
checkpoint,All field cabling terminated,,,,,,
checkpoint,All field tests completed,,,,,,
checkpoint,Power provided at Main Switch and tested,,,,,,
,,,,,,,
checklist-flat,BMS Cubicle Installation,,,,,,BMS Cubicle Installation
checkpoint,Wall Available for Mounting Switchboard,,,,,,
checkpoint,Cubicle Installed on Wall,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,BMS Cubicle Commissioning,,,,,,BMS Cubicle Commissioning
checkpoint,BMS Cubicle powered up,,,,,,
checkpoint,All Cards Online,,,,,,
checkpoint,"All labels, drawings etc installed",,,,,,
checkpoint,BMS Cubicle cleaned out and ready for Handover,,,,,,
,,,,,,,
checklist-flat,Fire Control Panel Installation,,,,,,Fire Control Panel Installation
checkpoint,Wall Available for Mounting Switchboard,,,,,,
checkpoint,Cubicle Installed on Wall,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,Fire Control Panel Commissioning,,,,,,Fire Control Panel Commissioning
checkpoint,All fire relays and points test with fire contractor,,,,,,
checkpoint,"All labels, drawings etc installed",,,,,,
checkpoint,Fire Control Panel cleaned out and ready for Handover,,,,,,
,,,,,,,
checklist-flat,Switchboard Fit-off,,,,,,Switchboard Fit-off
checkpoint,All field cabling terminated,,,,,,
checkpoint,Fire Signal supplied by others and terminated,,,,,,
checkpoint,Sub-mains supplied by others and terminated,,,,,,
checkpoint,BMS cables installed and terminated,,,,,,
checkpoint,All Field Tests completed,,,,,,
checkpoint,Ready for Energisation,,,,,,
,,,,,,,
checklist-flat,Switchboard Commissioning,,,,,,Switchboard Commissioning
checkpoint,All circuits operational,,,,,,
checkpoint,Power meter tested,,,,,,
checkpoint,Fire Trip Tested,,,,,,
,,,,,,,
checklist-flat,BMS Cubicle Fit-off,,,,,,BMS Cubicle Fit-off
checkpoint,All BMS cabling terminated,,,,,,
checkpoint,Network cabling terminated,,,,,,
checkpoint,Ready for power,,,,,,
,,,,,,,
checklist-flat,Central Controller Rough In Checklist,,,,,,Central Controller Rough In Checklist
checkpoint,All transmission cabling installed,,,,,,
checkpoint,Central controller cable roughed in to correct wall position,,,,,,
,,,,,,,
checklist-flat,Cable Tray Install Checklist,,,,,,Cable Tray Install Checklist
checkpoint,Hangars Installed,,,,,,
checkpoint,Cable Tray Installed,,,,,,
checkpoint,"Bolted down, ready for rough-in",,,,,,
,,,,,,,
checklist-flat,STANDARD EQUIPMENT PBO Rough-in Checklist,,,,,,STANDARD EQUIPMENT PBO Rough-in Checklist
checkpoint,Equipment installed in final position,,,,,,
checkpoint,Isolator installed by others,,,,,,
checkpoint,Control cabling roughed in,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,"STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in Checklist",,,,,,"STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in Checklist"
checkpoint,Equipment installed in final position,,,,,,
checkpoint,Power cabling roughed in,,,,,,
checkpoint,Control cabling roughed in,,,,,,
checkpoint,Cables through roof,,,,,,
checkpoint,"Conduit, decktites installed, penetration watersealed",,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,Essential FAN Rough-in Checklist,,,,,,Essential FAN Rough-in Checklist
checkpoint,Roof penetration marked out,,,,,,
checkpoint,Fire Rated Supply rouged-in,,,,,,
checkpoint,Fire Rated Control cable roughed-in,,,,,,
