resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA, ,,,,,,,
,step,,,,PROJECT DOCUMENTATION & NOTES,,,,,,,
,step,,,,,DRAWINGS,,,,,,
,step,,,,,TECH DATA,,,,,,
,step,,,, ,POINTS LISTS ,,,,,,
,step,,,,,NOTES,,,,,,
,step,,,,EXISTING CONDITIONS REPORT,,,,,,,
,step,,,,,SWITCHBOARDS,,,,,,
DELAP ITP - MSSB CONDITION,checklist,,,, ,,MSSB-1,,,,,
DELAP ITP - MSSB CONDITION,checklist,,,,,,BMS CUBICLE,,,,,
,step,,,,,EQUIPMENT,,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,SYSTEM 1 COMPRESSOR,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,SYSTEM 1 COMPRESSOR,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,SYSTEM 1 CONDENSER FANS,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,SYSTEM 2 CONDENSER FANS,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,CLEANERS EF,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,FISH EF,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,OVERN EF,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,DONUT EF,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,ROTISSERIE EF,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,STOCKROOM EF-1,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,STOCKROOM EF-2,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,STAFF ROOM EF,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,RETURN AIR FAN,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,SUPPLY FAN MSB ROOM,,,,,
DELAP ITP - EXISTING EQUIPMENT,checklist,,,,,,AHU-1,,,,,
,step,,,,ROUGH-IN,,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,PRSAF-1 PLANTROOM SUPPLY FAN,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,PREF-1 PLANTROOM EXHAUST FAN,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,SREF-1 STOCKROOM EXHAUST FAN 1,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,SREF-2 STOCKROOM EXHAUST FAN 2,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,OAF-1 GENERAL OFFICE,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,OAF-2 PRODUCE PREP,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,TEF-1 AMENITIES,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,AC-1 GENERAL OFFICE,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,AC-2 PLANNING ROOM,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,AC-3 LOCKERES,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,AC-4 TEAM ROOM,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,AC-5 CASHIER OFFICE,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,AC-6 MULTIPURPOSE ROOM,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,VRF-1 CONDENSING UNIT,,,,,,
"Rough-in ITP - STANDARD EQUIPMENT (Fan, AHU, FCU, PUMP, Boiler etc). Rough-in",checklist,,,,,AC-7 COMMS ROOM SPLIT,,,,,,
,step,,,,FITOFF,,,,,,,
Fitoff ITP - STANDARD EQUIPMENT Fit off,checklist,,,,,PRSAF-1 PLANTROOM SUPPLY FAN,,,,,,
Fitoff ITP - STANDARD EQUIPMENT Fit off,checklist,,,,,PREF-1 PLANTROOM EXHAUST FAN,,,,,,
