Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,
4128003d-801a-507a-97c5-4e63172cb4fe,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level G,ERV-GF-01,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
e4278c83-3497-52af-afef-17159637abe0,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level G,ERV-GF-02,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
c1ca1b94-85d1-5231-950c-e8a5b92e2711,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level G,ERV-GF-03,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
5b3d5ede-0bf1-5ab8-bf73-4bbd71925be3,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level G,ERV-GF-04,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
388c2415-6c75-5952-ad65-a7bdb9ff5420,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level G,ERV-GF-05,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
d80061a5-7007-5865-961f-6cfadc02f3a6,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level 1,ERV-L1-01,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
375d1d44-c7ae-5bc7-87fe-fc838c325a08,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level 1,ERV-L1-02,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
7d0628da-1479-5d87-967f-56bb067e7669,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level 1,ERV-L1-03,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
f57caa7d-723b-5af4-a4c2-af4ab7b151fb,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level 1,ERV-L1-04,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
810ba884-d074-52fd-8c69-23a4f0fef31b,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level 1,ERV-L1-05,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
0b37d4a3-cff0-5d83-a0df-1b868ed13024,,checkpoint-status,not-started,,,TRUE,TRUE,Project QA,Level 1,ERV-L1-06,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
8880a053-5288-5a02-a552-4a4a21298183,,checkpoint-status,fail,,,TRUE,TRUE,Project QA,Level 2,ERV-L2-01,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
c198789a-b528-5592-80a7-312e00b62f08,,checkpoint-status,fail,,,TRUE,TRUE,Project QA,Level 2,ERV-L2-02,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
46cb83d3-1623-57c6-8efc-2c460537107c,,checkpoint-status,fail,,,TRUE,TRUE,Project QA,Level 2,ERV-L2-03,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
05ce3c68-1b7c-552d-993c-4a49a41c5ead,,checkpoint-status,fail,,,TRUE,TRUE,Project QA,Level 2,ERV-L2-04,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
44ccc726-d0e9-5871-bb4f-b064404e21ce,,checkpoint-status,fail,,,TRUE,TRUE,Project QA,Level 2,ERV-L2-05,First Fix ERV,Ductwork straight/level and well supported including any seismic restraints,,,,,,,,
