Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,
2db1b8b9-4801-4f31-a21a-5e52be6ee5f8,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Site QA ITP List,CRL-ITR-004 - Fans,,,,,,,,,
d9673309-ad3f-4a85-ac8e-edc2b9372aa4,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Site QA ITP List,CRL-ITR-005 - Fan Coil Units,,,,,,,,,
e2788876-edaa-4ac0-9e29-99cc6e2e4e4e,,checklist-sectioned,not-started,SYS - CRL-ITR-008 - AHU Installation (old version),checklist,FALSE,FALSE,Site QA ITP List,CRL-ITR-008 - AHU Installation,,,,,,,,,
a1aade15-e4c4-4720-8476-2f3bacc4b07b,,checklist-flat,not-started,SYS - CRL-ITR-009 - Chillers Installation (old version),checklist-flat,FALSE,FALSE,Site QA ITP List,CRL-ITR-009 - Chillers Installation,,,,,,,,,
1ca7bc06-329d-44a0-83c6-091a6e28f852,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Site QA ITP List,CRL-ITR-010 - Crack Unit Installation,,,,,,,,,
1ba2f8f4-6195-4e90-b94c-2411391b6a12,,checklist-sectioned,not-started,SYS - CRL-ITR-013 - Radiant Heaters (old version),checklist,FALSE,FALSE,Site QA ITP List,CRL-ITR-013 - Radiant Heaters,,,,,,,,,
deb87b50-4b68-45d4-9657-1777b313cc71,,checklist-sectioned,not-started,SYS - CRL-ITR-016 - DX Units (old version),checklist,FALSE,FALSE,Site QA ITP List,CRL-ITR-016 - DX Units,,,,,,,,,
fcf2df22-78f9-43f7-8aa7-55167a000d59,,checklist-sectioned,not-started,SYS - CRL-ITR-008 - AHU Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 130711 (Piping),AHUs,CRL-ITR-008 - AHU Installation (AOT-WEL3-ASS-AHU-001),,,,,
84c1639f-9084-4b53-bbd2-7027572d00b4,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140738 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
d9d1089c-26c3-41f8-9fab-d7541ffc4008,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140738 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
88003435-d119-400e-b59d-db9cf9e4c5e9,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140738 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
b4a822c2-2db9-44e0-9f22-d862038ae502,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140738 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
6591ef5b-3a84-40c6-bcfa-5fe4b8131cde,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140738 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
289577aa-47fd-4a1a-860f-454ab5c8891f,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140738 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
94aaedba-1e44-4bd3-ac5c-a0f124032375,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
3b8c51da-e68e-41d3-a560-0e3ef35e106a,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
