"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7ef8b87-5d1a-4056-9b7f-860ed5de950f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections "
"625b0491-f7ba-402c-b303-21a4bdf82f23","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework "
"82c6efad-1518-44f9-97ef-13234aec6118","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9"
"56a8e812-4b74-490d-a970-37fb80fbfcdc","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete"
"2f1d19a0-4042-496e-aef4-bb7aaf12a542","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete"
"01509600-79f4-4f2d-a732-24ff13d3badb","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Combined Services HDPE Fire Pipework Installation"
"4411467d-4804-406d-bd3b-da2fc9f55f7e","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"eb582ab3-5823-4f3e-bfa7-eaaa4556aa72","Signoffs not allowed on folder-progress: Signoffs Welds 1-9,11-12,34-37,39-40,41,44-45(501ac8f5-4ed3-4ad1-a27b-8cac725bb308)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding"
"d6cf1bc7-304f-43e9-86b8-40a14ef28c83","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10"
"49d35f98-787d-414d-a736-03e9da2ede26","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 1"
"40f311e4-061c-4333-95ad-571e1b30375b","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"38f3af7e-30a5-4462-acb9-5bb019d664ba","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 2"
"a7a89bfd-382e-470d-beaf-2799234467fd","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"0d376f4f-7327-4abb-be34-3ff794b04b81","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 3"
"c4270c61-54bf-43a7-8818-e5b3fa16226d","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 9","Trench PE 16 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation - Check Sheet 95% Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
