type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Steel Stud Framing,,,,,,PRE - S - Steel Stud Framing
checkpoint,Steel Stud Dimensions / locations checked & accurate,,,,,,
checkpoint,"Steel Studs have been installed square, straight and plumb ",,,,,,
checkpoint,Fixings are correct to specification including any seismic/bracing requirements,,,,,,
checkpoint,"All Nogs (Service/Specialty) & penetrations - installed, checked & correct (ensure acoustic & fire rating requirements achieved)",,,,,,
checkpoint,All Steel Stud framing completed correctly to specification & within tolerance in respective area(s) ,,,,,,
checkpoint,Door Timber studs and lintels installed and level,,,,,,
checkpoint,"Window Timber studs, lintels and still installed and level",,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
,,,,,,,
checklist-flat,Insulation,,,,,,PRE - S - Insulation
checkpoint,All materials checked & aligning with consented design & specifications prior to install,,,,,,
checkpoint,Correct product & R value as per specification,,,,,,
checkpoint,All Insulation completed correctly to specification & within tolerance in respective area(s),,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,
