resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Block 25,,,,,,,
,step,,,,,North GF,,,,,,
,step,,,,,South GF,,,,,,
,step,,,,,East GF,,,,,,
,step,,,,,West GF,,,,,,
,step,,,,Block 26,,,,,,,
,step,,,,,North GF,,,,,,
,step,,,,,South GF,,,,,,
,step,,,,,East GF,,,,,,
,step,,,,,West GF,,,,,,
,step,,,,Block 27,,,,,,,
,step,,,,,North GF,,,,,,
,step,,,,,South GF,,,,,,
,step,,,,,East GF,,,,,,
,step,,,,,West GF,,,,,,
,step,,,,Block 28,,,,,,,
,step,,,,,North GF,,,,,,
,step,,,,,South GF,,,,,,
,step,,,,,East GF,,,,,,
,step,,,,,West GF,,,,,,
,step,,,,Block 29,,,,,,,
,step,,,,,North GF,,,,,,
,step,,,,,South GF,,,,,,
,step,,,,,East GF,,,,,,
,step,,,,,West GF,,,,,,
,step,,,,Block 30,,,,,,,
,step,,,,,North GF,,,,,,
,step,,,,,South GF,,,,,,
,step,,,,,East GF,,,,,,
,step,,,,,West GF,,,,,,
,step,,,,Block 31,,,,,,,
,step,,,,,North GF,,,,,,
,step,,,,,South GF,,,,,,
,step,,,,,East GF,,,,,,
,step,,,,,West GF,,,,,,
