Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
fd3994e9-0620-542c-a196-063489b3601d,,checkpoint-status,pass,,,TRUE,TRUE,QA,1No RoofSafe Rail @ 21m - RSRail 01,Rail Checklist - RSRail 01,Installed as per PBI drawings supplied and manufacturer's requirements,
5e98f231-8076-5f03-bb18-e692b3aa4281,,checkpoint-status,pass,,,TRUE,TRUE,QA,1No RoofSafe Rail @ 6m - RSRail 02,Rail Checklist - RSRail 02,Installed as per PBI drawings supplied and manufacturer's requirements,
71dc1d67-efc4-51a8-8f06-eccb0d3a6826,,checkpoint-status,pass,,,TRUE,TRUE,QA,1No RoofSafe Rail @ 17m - RSRail 03,Rail Checklist - RSRail 03,Installed as per PBI drawings supplied and manufacturer's requirements,
963a4bef-46e6-57ab-bc88-310f92a2550f,,checkpoint-status,pass,,,TRUE,TRUE,QA,4No AP Type 01 Fall Arrest & Abseil Anchors,Fit Off Checklist - Anchor 01,Installed as per PBI drawings supplied and manufacturer's requirements,
aaac096e-5511-51c0-a983-0e879c04eb5e,,checkpoint-status,pass,,,TRUE,TRUE,QA,4No AP Type 01 Fall Arrest & Abseil Anchors,Fit Off Checklist - Anchor 02,Installed as per PBI drawings supplied and manufacturer's requirements,
2ce64962-0012-540a-85c3-3a61111b25ed,,checkpoint-status,pass,,,TRUE,TRUE,QA,4No AP Type 01 Fall Arrest & Abseil Anchors,Fit Off Checklist - Anchor 03,Installed as per PBI drawings supplied and manufacturer's requirements,
12796bc7-00f3-57a6-92bc-d9344843b6f4,,checkpoint-status,pass,,,TRUE,TRUE,QA,4No AP Type 01 Fall Arrest & Abseil Anchors,Fit Off Checklist - Anchor 07,Installed as per PBI drawings supplied and manufacturer's requirements,
06ece87a-d9c3-586d-8e1c-5e84321749c9,,checkpoint-status,pass,,,TRUE,TRUE,QA,1No AP Type 02 ,Fit Off Checklist - Anchor 04,Installed as per PBI drawings supplied and manufacturer's requirements,
33984fcd-cc25-53d2-983d-21ba4e0a82b7,,checkpoint-status,pass,,,TRUE,TRUE,QA,2No AP Type 03 Abseil Anchors,Fit Off Checklist - Anchor 5,Installed as per PBI drawings supplied and manufacturer's requirements,
c5cd4271-a877-579d-9f63-baf54df94f25,,checkpoint-status,pass,,,TRUE,TRUE,QA,2No AP Type 03 Abseil Anchors,Fit Off Checklist - Anchor 6,Installed as per PBI drawings supplied and manufacturer's requirements,
