Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
21fea5dc-36ed-59a2-8fcc-9583cdd650c8,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 124m - Line 01,Fit Off Checklist - Line 01,Confirm the structure is in accordance with the details supplied by PBI,
7e8bf663-8cac-5dbf-9408-ce296618c760,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 107m - Line 02,Fit Off Checklist - Line 02,Confirm the structure is in accordance with the details supplied by PBI,
317cf020-7c92-5d5b-8092-c79c614f6270,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 57m - Line 04,Fit Off Checklist - Line 04,Confirm the structure is in accordance with the details supplied by PBI,
de7c7867-5f50-55ae-8d0a-d7e2b5eb3e98,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 100m - Line 05,Fit Off Checklist - Line 05,Confirm the structure is in accordance with the details supplied by PBI,
6091622b-2f8e-5030-a309-3239ae88cee1,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 63m - Line 06,Fit Off Checklist - Line 06,Confirm the structure is in accordance with the details supplied by PBI,
5fadcfb9-d338-55fc-ac9a-0ece90261a89,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 194m - Line 07,Fit Off Checklist - Line 07,Confirm the structure is in accordance with the details supplied by PBI,
7695a6aa-424c-5bf8-a996-854f1b59158a,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 21m - Line 09,Fit Off Checklist - Line 09,Confirm the structure is in accordance with the details supplied by PBI,
9e2068fc-6c6b-5544-82a7-85fa010547c1,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 63m - Line 10,Fit Off Checklist - Line 10,Confirm the structure is in accordance with the details supplied by PBI,
82343604-5708-53ed-a4a0-658d6a47636b,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 194m - Line 11,Fit Off Checklist - Line 11,Confirm the structure is in accordance with the details supplied by PBI,
5cd6ba91-2c69-503b-9815-9b91a56fc4ae,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System @ 73m - Line 13,Fit Off Checklist - Line 13,Confirm the structure is in accordance with the details supplied by PBI,
404cb2c3-b916-5505-a758-f958485706c5,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,RoofSafe Cable Systems,1No RoofSafe Cable System - Line 14 (part of Line 01),Fit Off Checklist - Line 14,Confirm the structure is in accordance with the details supplied by PBI,
30fce50a-3925-526e-bfd0-0fc3c2a3da7b,,checkpoint-status,pass,,,TRUE,TRUE,DO NOT SEND IN HANDOVER KIT - QA,8mm Horizontal Lifeline Cable Systems,1No 8mm Horizontal Lifeline Cable System @ 4m - HLL Line 01,Fit Off Checklist - HLL Line 01,Confirm the structure is in accordance with the details supplied by PBI,
