"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b1b10346-d5f1-4a6d-a3cd-740ceb0609b6","","checklist-flat","pass","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"fc0545fd-574f-5efa-960a-b56cf4895f5b","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"9598dddf-037f-5a0a-8807-a6997c165c82","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"d8a30c89-8c51-599e-8e06-c404ba07d33e","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"a719ed54-f97c-513e-91ed-50b0f0060faa","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"a7ef97fd-cfd8-5cc4-9a80-ef6b90f2a983","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"58387287-4f00-440b-9726-a62b7bc99c70","","folder-normal","pass","","step","TRUE","FALSE","QA"
"91c60590-da08-4e82-824d-fff05fa313b9","","folder-normal","pass","","step","TRUE","FALSE","QA","Roof Level"
"71dcb612-5e9a-4a0a-8775-f397ea8025d0","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Roof Level","Pre-Fit Off Checklist"
"343f690d-8d66-535a-ba93-f9fc8058c461","","checkpoint-status","pass","","","TRUE","TRUE","QA","Roof Level","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"eabe8375-3770-57e7-8940-83e4c98d8781","","holdpoint","pass","","","TRUE","TRUE","QA","Roof Level","Pre-Fit Off Checklist","EMAIL PM"
"3384c2a6-0a4e-5db8-ad9d-34d74fb2f4a8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Roof Level","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"6bd7f088-0120-5f76-9756-c60838d1f311","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","Roof Level","Pre-Fit Off Checklist","Photos taken"
"37c223d7-7014-4e00-9506-a5e98e6a243f","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Roof Level","Fit Off Checklist - Anchor 16"
"2b7175a8-0f68-5c06-9ab4-4e0a6d428dbe","","checkpoint-status","pass","","","TRUE","TRUE","QA","Roof Level","Fit Off Checklist - Anchor 16","Confirm the structure is in accordance with the details supplied by PBI"
"db4197eb-a766-58b8-b80a-0609a022131f","","holdpoint","pass","","","TRUE","TRUE","QA","Roof Level","Fit Off Checklist - Anchor 16","EMAIL PM"
"2f689416-0110-5f4e-be32-3e637e466558","","checkpoint-status","pass","","","TRUE","TRUE","QA","Roof Level","Fit Off Checklist - Anchor 16","Required number of photo(s) taken of installed anchor(s)"
"8d2b4d61-9c50-5df4-93cd-24f9fe76ad7a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Roof Level","Fit Off Checklist - Anchor 16","Installed as per PBI drawings supplied and manufacturer's requirements"
"be0bad8d-b207-4888-8a90-cd1495da650c","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Roof Level","Fit Off Checklist - Anchor 17"
"9d925e82-b3f6-5c68-a22c-1667ceaf1ee6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Roof Level","Fit Off Checklist - Anchor 17","Confirm the structure is in accordance with the details supplied by PBI"
"dd1b3409-a249-5919-b732-bcaaa16671fa","","holdpoint","pass","","","TRUE","TRUE","QA","Roof Level","Fit Off Checklist - Anchor 17","EMAIL PM"
"13d68fd3-89ab-5ede-a143-9b24578f9de7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Roof Level","Fit Off Checklist - Anchor 17","Required number of photo(s) taken of installed anchor(s)"
