type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,AXXX - West Dapto - ITC 009 (ITP009) - Traffic Management,,,,,,AXXX - West Dapto - ITC 009 (ITP009) - Traffic Management
checkpoint,1 - Preparation Works,,,,,,
label,REQUIREMENTS / REFERENCE: Project Safety Plan,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• All site personnel inducted (includes environment and cultural),,,,,,
label,• Required Safe Work Method Statements completed and signed,,,,,,
label,• Subcontractor’s safety plan/procedure approved,,,,,,
text,INSPECTION:,,,,,,
checkpoint,2 - Environment,,,,,,
label,REQUIREMENTS / REFERENCE: Project Environment Plan,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• Traffic requirements in place as per Plan,,,,,,
text,INSPECTION:,,,,,,
checkpoint,3 - Traffic Management,,,,,,
label,REQUIREMENTS / REFERENCE: 1101 2.1,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• HOLD POINT: Submission of Traffic Management Plan (TMP) to the requirements of section 2.1 ,,,,,,
text,INSPECTION:,,,,,,
text,HOLD POINT NUMBER:,,,,,,
holdpoint,HOLD POINT,,,,,,
checkpoint,4 - Authority Approvals,,,,,,
label,REQUIREMENTS / REFERENCE: 1101 1.5,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• HOLD POINT: Submission of evidence of approvals for temporary traffic arrangements 4 weeks prior to works commencing,,,,,,
text,INSPECTION:,,,,,,
text,HOLD POINT NUMBER:,,,,,,
holdpoint,HOLD POINT,,,,,,
checkpoint,5 - Approval of Speed Zone Changes,,,,,,
label,REQUIREMENTS / REFERENCE: 1101 1.5,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• HOLD POINT:  Submission of evidence of approvals for changes to speed zoning 5 weeks before implementation,,,,,,
text,INSPECTION:,,,,,,
text,HOLD POINT NUMBER:,,,,,,
holdpoint,HOLD POINT,,,,,,
checkpoint,6 - Construction of Temporary Pavement,,,,,,
label,REQUIREMENTS / REFERENCE: 1101 4.5,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• Permission to construct under traffic: Give 5 days’ notice of before carrying out work. ,,,,,,
label,• WITNESS POINT: Notification of completed temporary pavement construction for inspection 3 days before installation of control devices and signs,,,,,,
text,INSPECTION:,,,,,,
text,WITNESS POINT NUMBER:,,,,,,
holdpoint,WITNESS POINT,,,,,,
checkpoint,7 - Completed Temporary Roadway,,,,,,
label,REQUIREMENTS / REFERENCE: 1101 4.6,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• HOLD POINT: Notification of completed temporary roadway inclusive of traffic devices 3 days before opening to traffic. Written approval required to open to traffic,,,,,,
text,INSPECTION:,,,,,,
text,HOLD POINT NUMBER:,,,,,,
holdpoint,HOLD POINT,,,,,,
checkpoint,8 - Traffic Control Signs and Devices,,,,,,
label,REQUIREMENTS / REFERENCE: ,,,,,,
label,• 1101 1.6,,,,,,
label,• 1101 4.7,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• WITNESS POINT:  Notification of completed installation of any of the following: ,,,,,,
label,o Signs and devices,,,,,,
label,o Alternative access,,,,,,
label,o Warning devices installation,,,,,,
label,• 1 day before opening to traffic,,,,,,
text,INSPECTION:,,,,,,
text,WITNESS POINT NUMBER:,,,,,,
holdpoint,WITNESS POINT,,,,,,
checkpoint,9 - Opening Completed Work,,,,,,
label,REQUIREMENTS / REFERENCE: 1101 4.7,,,,,,
label,ACCEPTANCE CRITERIA: ,,,,,,
label,• Provide at least 10 working days’ written notice of the date of opening the Works to traffic. Obtain agreement for the procedure for opening including with the local Police.,,,,,,
label,• HOLD POINT: Notification of reinstatement of affected area by the works 2 days before opening to traffic,,,,,,
text,INSPECTION:,,,,,,
text,HOLD POINT NUMBER:,,,,,,
holdpoint,HOLD POINT,,,,,,
checkpoint,QA ENGINEER / SPE / PE SIGN OFF,,,,,,
text,Name:,,,,,,
text,Date:,,,,,,
label,Signature,,,,,,
