type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP 34 - B30 Backfill of Structures,itp,,,,,ITP 34 - B30 Backfill of Structures,
section,Lot Information,,,,,,,
checkpoint,Lot Information complete,,,,,,,
textbox,Lot Opened On,,,,,,,
textbox,Date of Works,,,,,,,
textbox,Lot Type,,,,,,,
textbox,Start Chainage,,,,,,,
textbox,End Chainage,,,,,,,
textbox,Offset,,,,,,,
textbox,Control Line,,,,,,,
section,1. Preliminary,,,,,,,
checkpoint,1.1 - B30 Material Approval,,,,,,,
label,Requirements / Reference - B30: cl 6.2.1,,,,,,,
label,Acceptance Criteria - Select Backfill for Structures,,,,,,,
label,Chemical testing -,,,,,,,
label,○ pH >=5.5,,,,,,,
label,○ S04<=1000mg/L,,,,,,,
label,○ Chlorides<= 200mg/l,,,,,,,
label,Particle Size Distribution -,,,,,,,
label,○ As per B30 table B30.2,,,,,,,
label,○ Coeff uniformity >=5,,,,,,,
label,○ PI<=15,,,,,,,
label,Notification / Frequency - Per stockpile. 1 test per 500m3,,,,,,,
label,Inspection - ACPL - H,,,,,,,
label,Inspection - Client - H,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.2 - Age of Structure and B30 Extents,,,,,,,
label,Requirements / Reference - B30: cl 6.3,,,,,,,
label,Acceptance Criteria - Age of structure,,,,,,,
label,○ Wait at least 7 days or 75% of the specified minimum 28-day compressive strength of the member is achieved before commencing backfilling of structure.,,,,,,,
label,NOTE -,,,,,,,
label,○ Date last pour on RW1/Abutment B: 22/10/24,,,,,,,
label,○ Date start backfill RW1 Abutmnt B:27/11/24,,,,,,,
label,○ Waiting period: 5 weeks,,,,,,,
label,○ Date of last pour on RW2: 19/11/2024,,,,,,,
label,○ Date start backfill RW2: 16/12/2024,,,,,,,
label,○ Waiting Period: 4 weeks,,,,,,,
label,B30 Extents,,,,,,,
label,"○ Ensure excavation will allow backfilling of B30 within a distance of H/2 from edge of base slab, where H is the distance between the base of the footing and the top of the wall as indicated in B30/E",,,,,,,
label,Notification / Frequency - Once per Structure,,,,,,,
label,Inspection - ACPL - S,,,,,,,
section,2. Construction,,,,,,,
checkpoint,2.1 - Backfill against several sides of a structure,,,,,,,
label,Requirements / Reference - B30: 6.4.5,,,,,,,
label,Acceptance Criteria - Real time monitoring of the Abutment during the B30 placement,,,,,,,
label,Notification / Frequency - Per Lot,,,,,,,
label,Inspection - ACPL - S,,,,,,,
checkpoint,2.2 - Placing and Compaction - B30 Select Backfill,,,,,,,
label,Requirements / Reference - B30: cl 6.4,,,,,,,
label,Acceptance Criteria - Moisture requirements:,,,,,,,
label,○ Moisture between 60-90% of OMC,,,,,,,
label,Compaction Requirements:,,,,,,,
label,○ 98% relative compaction using T173 and T166 and determine characteristic relative value of compaction per Q6.,,,,,,,
label,Notification / Frequency - Per Lot,,,,,,,
label,Inspection - ACPL - H,,,,,,,
label,"Comments / Attachments / Records - The greater of one test per layer, or one per 50m2 or one per day",,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,2.3 - Maximum layer thickness- B30 select backfill,,,,,,,
label,Requirements / Reference - B30: table B30.5,,,,,,,
label,Acceptance Criteria - Maximum layer thickness:,,,,,,,
label,○ 150mm,,,,,,,
label,Notification / Frequency - Per lot,,,,,,,
label,Inspection - ACPL - S,,,,,,,
checkpoint,2.4 - Drainage Zone behind the retaining structures,,,,,,,
label,Requirements / Reference - Cl. 6.5,,,,,,,
label,Acceptance Criteria - Installation of Drainage Material (Strip Drains),,,,,,,
label,Notification / Frequency - Per Structure,,,,,,,
label,Inspection - ACPL - S,,,,,,,
section,Review by Project Engineer,,,,,,,
checkpoint-no-value,Review by Project Engineer,,,,,,,
button,Any non-conformances?,"YES, NO",,,,,,
textbox,No's:,,,,,,,
button,Closed Out,"YES, NO",,,,,,
button,All work has been satisfactorily completed.,"YES, NO",,,,,,
textbox,Name:,,,,,,,
holdpoint,Add signature,,,,,,,
section,Lot Verification,,,,,,,
checkpoint,Lot Verification complete,,,,,,,
textbox,Lot Verified By:,,,,,,,
textbox,Lot Closed Date:,,,,,,,
button,Submitted to Client,"Yes, No, N/A",,,,,,
button,Reviewed by Client,"Yes, No, N/A",,,,,,
textbox,Submission Comments:,,,,,,,
section-nested-checklists,NCR,,,,,,,
