resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Stage 1,,,,,,,,
,step,,,,B01,,,,,,,
,step,,,,,Ground Floor,,,,,,
,step,,,,,,Area A,,,,,
,step,,,,,,,Care Rooms,,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G1C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G2C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G3C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G4C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G5C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G6C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G7C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G8C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G9C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G10C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G11C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G12C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G13C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G14C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G15C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G16C,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G17C,,,
,step,,,,,,,Common Areas,,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,Lounge,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,Corridor,,,
,step,,,,,,Area B,,,,,
,step,,,,,,,ALS Rooms,,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G21A,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G22A,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G23A,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G24A,,,
PRE - S - Suspended ceiling grids ,checklist,,,,,,,,G25A,,,
