"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"07678a5f-6ac5-41b0-8a3f-d6e78cfe2397","","not-started","","folder","TRUE","FALSE","RAC"
"4a77268b-96b2-42c9-8e9e-dac32eda3381","","not-started","","folder","TRUE","FALSE","RAC","Level 1"
"8a957238-db9a-4e20-b94e-35314cf5bda6","","not-started","RAC Checklist","checklist","FALSE","FALSE","RAC","Level 1","B0101"
"3e49baba-fb9d-4203-b1eb-1b0d1b413a92","","not-started","","folder","TRUE","FALSE","RAC","Level 1","B0102"
"bb20fb0c-5d34-485d-a657-aaaff04d0c40","","not-started","733cb8712301ee1efa6d89fb7e7094f45b855c31c505ed6be066b10a7b1bcc65","checklist","FALSE","FALSE","RAC","Level 1","B0102","B.J01 - Wardrobe/TV Unit"
"66f9279e-57b1-4b2d-8336-a5d45f15d795","","not-started","4570a7b2c24c2f17f44637dc85e5d428f5c84d5bce6ea804a713127d2e393516","checklist","FALSE","FALSE","RAC","Level 1","B0102","B.J03 - Bedhead"
"e839afd9-03a9-469b-b594-1a0883deb422","","not-started","b81fe81c0ac1a516427b00bf46ac73597db8841a5d12bbae6478aac81f9ed25e","checklist","FALSE","FALSE","RAC","Level 1","B0102","B.J04 - Shaving Cabinet"
"ec5af3d9-e698-4e39-9b16-4873825b886b","","not-started","995858b8b3d77da78ceb49adf2ae33b94ad12d61859c3274404188009b21c2ce","checklist","FALSE","FALSE","RAC","Level 1","B0102","B.J05A - Memory Box"
"31b62a5a-63f2-45df-a94a-c60ba2099357","","not-started","","folder","TRUE","FALSE","RAC","Level 1","B0103"
"324e0b1c-51bc-4764-8bfb-b0df106f5bdf","","not-started","733cb8712301ee1efa6d89fb7e7094f45b855c31c505ed6be066b10a7b1bcc65","checklist","FALSE","FALSE","RAC","Level 1","B0103","B.J01 - Wardrobe/TV Unit"
"7b23a2b2-e561-4a0c-903f-45ef10635ac9","","not-started","4570a7b2c24c2f17f44637dc85e5d428f5c84d5bce6ea804a713127d2e393516","checklist","FALSE","FALSE","RAC","Level 1","B0103","B.J03 - Bedhead"
"ad6dd99d-7233-4d53-baac-10488b15a35b","","not-started","b81fe81c0ac1a516427b00bf46ac73597db8841a5d12bbae6478aac81f9ed25e","checklist","FALSE","FALSE","RAC","Level 1","B0103","B.J04 - Shaving Cabinet"
"18703fe9-5f71-4958-97bb-888e468b2f90","","not-started","995858b8b3d77da78ceb49adf2ae33b94ad12d61859c3274404188009b21c2ce","checklist","FALSE","FALSE","RAC","Level 1","B0103","B.J05A - Memory Box"
"408a6aee-e5d4-4385-809f-7ac6e5909821","","not-started","","folder","TRUE","FALSE","RAC","Level 1","B0104"
"469e773b-4349-46af-abc5-6f71ec111adb","","not-started","733cb8712301ee1efa6d89fb7e7094f45b855c31c505ed6be066b10a7b1bcc65","checklist","FALSE","FALSE","RAC","Level 1","B0104","B.J01 - Wardrobe/TV Unit"
"ec790512-fe4b-4ccf-9036-9ceb6633403b","","not-started","4570a7b2c24c2f17f44637dc85e5d428f5c84d5bce6ea804a713127d2e393516","checklist","FALSE","FALSE","RAC","Level 1","B0104","B.J03 - Bedhead"
"f5a7ea68-9dc7-48e0-939a-6af6ee3c2051","","not-started","b81fe81c0ac1a516427b00bf46ac73597db8841a5d12bbae6478aac81f9ed25e","checklist","FALSE","FALSE","RAC","Level 1","B0104","B.J04 - Shaving Cabinet"
"8fa5f7d2-7079-4d21-bac8-4ade64fef594","","not-started","995858b8b3d77da78ceb49adf2ae33b94ad12d61859c3274404188009b21c2ce","checklist","FALSE","FALSE","RAC","Level 1","B0104","B.J05A - Memory Box"
"516fbbd0-ddf3-4cd2-b32e-f746041aeac8","","not-started","","folder","TRUE","FALSE","RAC","Level 1","B0105"
"46cad998-8576-41ba-99b7-b34ce787397f","","not-started","733cb8712301ee1efa6d89fb7e7094f45b855c31c505ed6be066b10a7b1bcc65","checklist","FALSE","FALSE","RAC","Level 1","B0105","B.J01 - Wardrobe/TV Unit"
