type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Fire Pump Room (V90421),,,,,,Fire Pump Room (V90421)
checkpoint,Fire pump isolation valves installed on all pumps,,,,,,
checkpoint,All pipe work tested to min 1200 kpa,,,,,,
checkpoint,Pour concrete plinth for each fire pump,,,,,,
label,Check height and dimensions as per drawings/specifications,,,,,,
checkpoint,Switchboards in place using suitable fixings to match mounting service No damage to external board has occurred during installation,,,,,,
button,Ensure adequate pathways exist within board to accommodate all circuits and allow for future expansion,"Yes, No",,,,,
button,Install and loom in all circuits into correct cabinets,"Yes, No",,,,,
button,Ensure cable labels match switchboard schedule and construction drawings,"Yes, No",,,,,
button,Cables are labelled as per specified requirements,"Yes, No",,,,,
button,Check all tightness of all terminals on all breakers and bars,"Yes, No",,,,,
checkpoint,Ensure 1m Clearance around fire pumps,,,,,,
checkpoint,Ensure minimum 2m Height clearance - To floor or finish above,,,,,,
checkpoint,Ensure safety signage is installed and visible as per plans,,,,,,
checkpoint,All PvC pipes to be fire rated within pump room,,,,,,
checkpoint,FIP commissioned & is recognising fire pumps within the system,,,,,,
checkpoint,EWIS speakers installed as per manufacturers instructions,,,,,,
checkpoint,Final sign off - Fire pumps installed as per the above ITP - Add general photos/comments below,,,,,,
label,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,
