resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Earthworks,,,,,,,
,step,,,,,Basement 2,,,,,,
,step,,,,,,Shoring Piles,,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 1,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 2,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 3,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 4,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 5,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 6,,,,
,step,,,,,,Shotcrete,,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 1,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 2,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 3,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 4,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 5,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 6,,,,
Bulk Excavation,checklist,,,,,,Bulk Excavation,,,,,
,step,,,,,Basement 1,,,,,,
,step,,,,,,Shoring Piles,,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 1,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 2,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 3,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 4,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 5,,,,
Excavation & Shoring (V140421),checklist,,,,,,,Shoring Wall 6,,,,
,step,,,,,,Shotcrete,,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 1,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 2,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 3,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 4,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 5,,,,
Shotcrete,checklist,,,,,,,Shoring Wall 6,,,,
,step,,,,,,Anchors,,,,,
Rock Anchoring,checklist,,,,,,,Shoring Wall 1,,,,
Rock Anchoring,checklist,,,,,,,Shoring Wall 2,,,,
Rock Anchoring,checklist,,,,,,,Shoring Wall 3,,,,
Rock Anchoring,checklist,,,,,,,Shoring Wall 4,,,,
Bulk Excavation,checklist,,,,,,Bulk Excavation,,,,,
,step,,,,Structure,,,,,,,
,step,,,,,Footings - Shotcrete,,,,,,
