Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
68637ead-f98a-493d-8b21-f94157cb5c39,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,301,Balcony
e83c6de0-97b0-4304-b092-e7112a782185,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,302,Balcony
3f4babb4-216e-4d81-b168-74ba59427659,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,303,Balcony
c865fc1a-cc38-40c4-bdcc-8cf948332551,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,304,Balcony
01912860-76cd-427c-8eb9-63fbb1a86d47,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,305,Balcony
fcbd1293-65e1-4f75-b0c2-0ac88d6d66a7,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,306,Balcony
609bb2fe-fc49-47a8-9cc0-f9976a5eff62,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,307,Balcony
9dc654df-2490-442d-970f-795b78210a00,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,308,Balcony
00642f2a-d478-4aa0-a5e7-14d82df19155,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,309,Balcony
7241a1b4-78be-4436-8ddc-5fc6031d4651,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 3,310,Balcony
8af183ff-2fd4-40f8-9776-73dabe05ed6a,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,401,Balcony
f7d8ee38-99ff-41e0-a15a-1f2f16c8a418,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,402,Balcony
69e3ec5d-93d1-4d7d-abf6-8246e3f5789f,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,403,Balcony
199c1422-e53c-4ed9-86a3-fad1a179096f,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,404,Balcony
1daa9aec-3806-4d05-a87f-6b222a2e4634,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,405,Balcony
d0f49434-af7f-49b9-81d4-c782e6f83f36,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,406,Balcony
2f584cfb-e35a-4aed-b1ff-74750a26ad7e,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,407,Balcony
faefa33f-7f7b-4e61-bf69-76827a6938df,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,408,Balcony
6609a302-1682-4e0a-abaf-88f4e0f02bd5,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,409,Balcony
2a3c3481-4a08-4d90-b6c0-de5f51861b76,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 4,410,Balcony
60a6eb7b-75f0-44fa-bd71-66ac2ac9f35c,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 5,501,Balcony
b3f66120-1260-4548-80c0-2d889b750b1b,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 5,502,Balcony
392d423f-1fdd-48a2-bbee-c47fab527a6d,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 5,503,Balcony
12cfacdb-b570-4af1-9d36-4dd062ec7bab,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 5,504,Balcony
31cc3328-3f3a-47f5-9ded-c5ba142c4041,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 5,505,Balcony
0e6ba993-a561-4b0a-8b27-c201e3164e39,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Fit Out,Building A,Level 5,506,Balcony
