Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,
cc845159-7917-48a0-933f-e35dc6cadfa7,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Basement 1,Pour 1,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
af7ead82-0c06-4d4a-a290-e0c1ddb30823,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Basement 1,Pour 2,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
7fb59b6d-4530-4139-b675-8df2f7d78fe7,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Basement 1,Pour 3,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
3b5ba33a-f016-474d-839a-7c2a10afa575,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Basement 1,Pour 4,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
04d0f6b4-e51c-48a4-9203-e50fa55d9340,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Basement 1,Pour 5,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
1dd9a64c-e73b-4b98-b9ae-d49749e06b0a,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Basement 1,Pour 6,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
355d25b3-f2b1-4d1b-9f00-951c83da08c4,,checkpoint-status,not-applicable,,,TRUE,TRUE,Site QA,Structure,Ground,Pour 1,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
dae464bb-bb68-4bf7-b851-9c9c7e27a139,,checkpoint-status,not-applicable,,,TRUE,TRUE,Site QA,Structure,Ground,Pour 2,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
fb572d53-0b5c-4e20-bcff-00ff66a29e2f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Ground,Pour 3,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
b1cd7aad-26e9-4093-9576-e9f03da56afe,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Ground,Pour 4,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
716b60c2-9df0-426c-bb85-5dc8ffdfdb54,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Ground,Pour 5,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
8d3d5f7a-447f-4e09-81bf-7daf1f19047b,,checkpoint-status,not-applicable,,,TRUE,TRUE,Site QA,Structure,Ground,Pour 6,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
a71c50e6-bb1d-4031-b823-bd96f658a80a,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Level 1,Pour 1,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
ab3aa80a-8238-4028-85c7-2756f47b4c55,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Level 1,Pour 2,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
96c6e5b8-2ded-4578-b3cc-99c0f440a716,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Level 1,Pour 3,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
d7f655c8-6d66-44b9-957b-5131ca4e6176,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Level 1,Pour 4,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
c5c44361-1b2f-4147-8e0d-6dd7b8df457c,,checkpoint-status,not-applicable,,,TRUE,TRUE,Site QA,Structure,Level 1,Pour 5,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
853ec9df-13bb-4189-853c-c985100a2003,,checkpoint-status,not-applicable,,,TRUE,TRUE,Site QA,Structure,Level 1,Pour 6,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
7d483059-cde5-4b21-bec5-26ce14c5e481,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Structure,Level 2,Pour 1,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
0508d6c0-c54f-46d8-84e3-661582cb2f44,,checkpoint-status,not-applicable,,,TRUE,TRUE,Site QA,Structure,Level 2,Pour 2,Jump Form,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",
