"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5a5ab2b2-68cc-4042-939b-1a68d45a5cdf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"f854de46-0a7a-4e04-a3c0-4d6306a56c4f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks"
"78f3b5fa-550a-48b6-9d48-97914ecb6eb3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Earthworks","Anchors"
"5d46bcca-5608-492c-a120-cc106b8d92db","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 6"
"c1bdf27b-2c0e-43e3-86bc-1c88e34bac17","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles"
"6e01ce97-b7b9-4d3d-bf65-f452b5f27221","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles","Shoring Wall 1"
"15c8b049-df65-48f7-b97c-0d2e2213ff7a","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles","Shoring Wall 2"
"e8ad47e0-d0b0-4d6d-90b8-c88d7f1e303a","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles","Shoring Wall 3"
"c66f49c6-8f49-47ee-8738-ea83f83c75f7","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles","Shoring Wall 4"
"37e5c3c6-e7ee-4f07-b8bd-c2eac8f8d421","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles","Shoring Wall 5"
"96bbeafd-1554-40d9-9428-5759d14a02fc","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles","Shoring Wall 6"
"efaf6f78-2fcf-43a1-827f-79ad9d1fe0cc","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shoring Piles","Shoring Wall 7"
"ae0db26b-aad4-4b0c-a2a4-a90176b64c40","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete"
"8847d119-cb69-4e1e-acca-5062e672305c","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete","Shoring Wall 1"
"a0559492-0739-4db9-b323-6d5713db984a","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete","Shoring Wall 2"
"e4e6aff3-a939-4b48-bd89-42e8b2e0d2ef","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete","Shoring Wall 3"
"bd900349-13b2-44fb-b2ce-3a4e5a26db19","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete","Shoring Wall 4"
"18d8b336-344a-4f0b-900a-2d972f72d742","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete","Shoring Wall 5"
"c66f44f8-7399-4352-946a-fde28b3a6034","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete","Shoring Wall 6"
"d534d0cb-ca22-428a-973d-75ba113658d0","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Shotcrete","Shoring Wall 7"
"70991d20-538f-43fd-88d9-72decefe3fcd","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 6","Anchors"
"689380de-11ce-4ce6-9633-a7a08bd11367","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Anchors","Shoring Wall 1"
"2b57ee1d-c2d4-4f62-a236-b0c36b129a16","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Anchors","Shoring Wall 2"
"e4b4670d-4ce4-4585-9b31-cb556f249800","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Anchors","Shoring Wall 3"
"dc326d7b-05fc-4989-a93d-ca7b9553ac34","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Anchors","Shoring Wall 4"
"a7340808-e355-455b-a652-89f230607bae","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Anchors","Shoring Wall 5"
"73f70edb-ab02-4c5d-b1a2-043eb01a90f6","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Anchors","Shoring Wall 6"
"5639fbfe-e538-456a-bdaf-b13424b35931","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Anchors","Shoring Wall 7"
"b03e3815-bfbe-4e24-aabb-f299d14e56dd","","checklist-flat","pass","Bulk Excavation (V140421)","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Bulk Excavation"
"f054d207-dbaf-460a-be14-2e2758cbcc83","","checklist-sectioned","pass","Hydraulic Groundwork","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Hydraulic Groundwork"
"511449e8-65cd-40eb-92e5-6e4ed1c47a38","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 6","Tanking"
"6df2e98d-520a-4433-8951-d8d3d89017d0","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Tanking","Shoring Wall 1"
"383f1fb2-362d-466d-8200-9578764ccffe","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Tanking","Shoring Wall 2"
"0b010659-185e-4d68-a7a9-be4e19e530d9","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Tanking","Shoring Wall 3"
"907ceb3a-8069-4045-86e8-07ed65b0873a","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Tanking","Shoring Wall 4"
"a46cbf62-0b97-44d9-9d79-2898bc462711","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Tanking","Shoring Wall 5"
"8ee01f3e-e8b5-4a25-8fac-4113b2e3648d","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Tanking","Shoring Wall 6"
"7377a5ad-e449-4454-85df-60c60b2f45fd","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Tanking","Shoring Wall 7"
"d7a74ef4-4f87-4668-b840-80d29a55564d","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 6","Top Down Construction"
"f00008c8-e8f1-4b79-832a-1c33e5751347","","checklist-sectioned","pass","Formwork & Reinforcing","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Top Down Construction","Formwork & Reinforcing"
"3edbd87f-7008-4d08-9da9-83442fb2db3e","","checklist-flat","pass","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 6","Top Down Construction","Suspended Slab"
"7a35c8e9-9b9a-4c16-8d39-568e1bf8f2e8","","checklist-sectioned","pass","Columns","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 6","Top Down Construction","Columns"
"8fdf81cb-0229-4137-a12a-30741f81f771","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 5"
"229e80cf-2405-4cf9-a818-cc496a07d7f4","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles"
"8dbce80d-983e-488c-8e26-c5c3229c6087","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles","Shoring Wall 1"
"1bff5577-d92c-4df6-9c13-baee822f1d40","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles","Shoring Wall 2"
"eb357eff-d78e-477a-9449-f92564c81655","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles","Shoring Wall 3"
"a1e51127-518a-433e-be95-7dddf2e09c37","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles","Shoring Wall 4"
"5b41caf5-ce69-478f-8fef-9875c2429d5e","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles","Shoring Wall 5"
"6bf27da6-0714-48f0-af44-b9941a0c7483","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles","Shoring Wall 6"
"78d63c5a-1a5a-44c7-86be-4bde7a7bff15","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shoring Piles","Shoring Wall 7"
"dabc30e8-85a8-4925-a415-1c926ad8af99","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 5","Shotcrete"
"a9659dc4-7bc4-4b04-9758-4b61d97ab39a","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shotcrete","Shoring Wall 1"
"47909765-7a0b-467a-a524-86c607f8cd56","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shotcrete","Shoring Wall 2"
"b0e0a015-3906-44d1-b90e-b686ab9cdefe","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Shotcrete","Shoring Wall 3"
