Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
East Tower - Fit-Out Progress,,,,,,,
,Scope,,,fit out,east tower,,
,Rows,,,,,,
,,Level 5,dynamic,Level 5,east tower,fit out,site qa
,,Level 6,dynamic,Level 6,east tower,fit out,site qa
,,Level 7,dynamic,Level 7,east tower,fit out,site qa
,,Level 8,dynamic,Level 8,east tower,fit out,site qa
,,Level 9,dynamic,Level 9,east tower,fit out,site qa
,,Level 10,dynamic,Level 10,east tower,fit out,site qa
,,Level 11,dynamic,Level 11,east tower,fit out,site qa
,,Level 12,dynamic,site qa,fit out,level 12,east tower
,,Level 13,dynamic,site qa,fit out,east tower,level 13
,,Level 14,dynamic,site qa,fit out,east tower,level 14
,,Level 15,dynamic,level 15,site qa,fit out,east tower
,,Level 16,dynamic,level 16,site qa,fit out,east tower
,,Level 17,dynamic,site qa,level 17,fit out,east tower
,,Level 18,dynamic,level 18,site qa,fit out,east tower
,,Level 19,dynamic,site qa,fit out,east tower,level 19
,,Level 20,dynamic,site qa,level 20,fit out,east tower
,,Level 21,dynamic,level 21,site qa,fit out,east tower
,,Level 22,dynamic,site qa,fit out,east tower,level 22
,,Level 23,dynamic,site qa,fit out,level 23,east tower
,,Level 24,dynamic,site qa,fit out,east tower,level 24
,,Level 25,dynamic,site qa,fit out,east tower,level 25
,,Level 26,dynamic,level 26,site qa,fit out,east tower
,,Level 27,dynamic,level 27,site qa,fit out,east tower
,Columns,,,,,,
,,Framing,,framing,,,
,,Plumbing Rough-In,,plumbing rough-in,,,
,,Fire Rough-In,,fire rough-in,,,
,,Electrical Rough-In,,electrical rough-in,,,
,,Mechanical Rough-In,,mechanical rough-in,,,
,,Floor Coverings,,floor coverings,,,
,,Joinery Fit-Out,,joinery fit-out,,,
,,Services Fit-Out,,services fit-out,,,
,,Internal Painting,,internal painting,,,
,,Floor Wastes,,floor wastes,,,
,,Balcony,,balcony,,,
,,Pre-Lining,,pre-lining,,,
,,Post-Lining,,post-lining,,,
,,Tiling,,tiling,,,
,,Carpet,,carpet,,,
,,Internal Waterproofing,,internal waterproofing,,,
,,External Waterproofing,,external waterproofing,,,
