resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Site QA,checklist,,,X 225,,,,,,,,
Site QA,checklist,,,601,,,,,,,,
Site QA,checklist,,,601A,,,,,,,,
Site QA,checklist,,,602,,,,,,,,
Site QA,checklist,,,603,,,,,,,,
Site QA,checklist,,,603A,,,,,,,,
Site QA,checklist,,,604,,,,,,,,
Site QA,checklist,,,605,,,,,,,,
Site QA,checklist,,,606,,,,,,,,
Site QA,checklist,,,607,,,,,,,,
Site QA,checklist,,,608,,,,,,,,
Site QA,checklist,,,609,,,,,,,,
Site QA,checklist,,,610,,,,,,,,
Site QA,checklist,,,611,,,,,,,,
Site QA,checklist,,,612,,,,,,,,
Site QA,checklist,,,613,,,,,,,,
Site QA,checklist,,,614,,,,,,,,
Site QA,checklist,,,615,,,,,,,,
Site QA,checklist,,,616,,,,,,,,
Site QA,checklist,,,617,,,,,,,,
Site QA,checklist,,,618,,,,,,,,
Site QA,checklist,,,619,,,,,,,,
Site QA,checklist,,,619A,,,,,,,,
Site QA,checklist,,,620,,,,,,,,
Site QA,checklist,,,621,,,,,,,,
Site QA,checklist,,,622,,,,,,,,
Site QA,checklist,,,622A,,,,,,,,
Site QA,checklist,,,623,,,,,,,,
Site QA,checklist,,,624,,,,,,,,
