resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Office,,,,,,,,
,step,,,,Level 1,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),checklist,,,,,Comms,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),checklist,,,,,LV,,,,,,
,step,,,,Level 2,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),checklist,,,,,Comms,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),checklist,,,,,LV,,,,,,
,step,,,,Level 3,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),checklist,,,,,Comms,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),checklist,,,,,LV,,,,,,
