Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Underslab Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,"Stage 2 - THB02, 03, 04, 05, 10, 12",dynamic,Underslab,"Stage 2 - THB02, 03, 04, 05, 10, 12",Project Build QA
,,Stage 2 - THB01,dynamic,Under slab drainage ,Stage 2 - THB01,Project Build QA
,,Stage 3 - THB11 & 13,dynamic,Underslab,Stage 3 - THB11 & 13,Project Build QA
,,"Stage 7 - THB14, 15, 16 & 17",dynamic,Underslab,"Stage 7 - THB14, 15, 16 & 17",Project Build QA
,Columns,,,,,
,,Underslab Drainage,,Underslab Drainage,,
,,Preinstall QA,,Preinstall QA,,
,,Install QA,,Install QA,,
,,Handover checks,,Handover checks,,
,,,,Underslab Drainage,,
