resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Site QA,,,,,,,,
,,,step,,,,Building A,,,,,,,
"Roof, Terraces & Walkways Waterproofing",,,checklist,,,,,Walkway,,,,,,
Garbage Chute Waterproofing,,,checklist,,,,,Garbage Chute,,,,,,
Garbage Room Waterproofing,,,checklist,,,,,Garbage Room,,,,,,
Planter Boxes ITP,,,checklist,,,,,Planter Box,,,,,,
Storm Water Tank Waterproofing,,,checklist,,,,,Storm Water Tank,,,,,,
Fire Tank Waterproofing,,,checklist,,,,,Fire Tank 1,,,,,,
Fire Tank Waterproofing,,,checklist,,,,,Fire Tank 2,,,,,,
,,,step,,,,,Ground Floor,,,,,,
Bathroom & Laundry Waterproofing ITP,,,checklist,,,,,,Commercial Space,,,,,
Bathroom & Laundry Waterproofing ITP,,,checklist,,,,,,Male Toilet,,,,,
Bathroom & Laundry Waterproofing ITP,,,checklist,,,,,,Female Toilet,,,,,
Bathroom & Laundry Waterproofing ITP,,,checklist,,,,,,Accessibility Female Toilet,,,,,
Bathroom & Laundry Waterproofing ITP,,,checklist,,,,,,Accessibility Male Toilet,,,,,
,,,step,,,,,Level 1,,,,,,
Garbage Chute Waterproofing,,,checklist,,,,,,Garbage Chute,,,,,
,,,step,,,,,Level 2,,,,,,
Garbage Chute Waterproofing,,,checklist,,,,,,Garbage Chute,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,201,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,202,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,203,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,204,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,205,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,206,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,207,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,208,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,209,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,210,,,,,
,,,step,,,,,Level 3,,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,301,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,302,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,303,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,204,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,205,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,206,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,207,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,208,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,209,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,210,,,,,
,,,step,,,,,Level 4,,,,,,
Slab Edges ITP,Bathroom & Laundry Waterproofing ITP,Balcony & Podium Waterproofing ITP,folder-with-checklists,,,,,,401,,,,,
