type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,"Roof, Terraces & Walkways Waterproofing",,,,,Yes,"Roof, Terraces & Walkways Waterproofing",
section,Details,,,,,,,
checkpoint,"Area barricaded off to allow no access with signs posted/ visible to include date of application, ""No access waterproofing work in progress""",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,WP details listed at architectural drawings for clarifications are followed.,,,,,,,
checkpoint,All floor should be with proper falls towards the floor waste with a min. 1:100 slope.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,WPM must be applied around the linear drains (grated drains) before adding the leveling screed.,,,,,,,
note,Attach relevant photos,,,,,,,
tickbox,Membrane system & methodology checked off against Aland standard waterproofing details & MSDS,,,,,,,
tickbox,"Substrate clean, structurally sound & ready to receive membrane as per application guidelines of specified waterproofing system.",,,,,,,
tickbox,Ensure no high points or crevices are in the substrate,,,,,,,
tickbox,HOLDPOINT - Do not proceed if above has not been signed off,,,,,,,
checkpoint,Apply Polybit PVC primer to all PVC drains and pipes - Apply selected primer at a rate of 100ml/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Primer substrate with Polybit Hydrapoxy or PU primer - Apply selected primer at a rate of 150-200 gr/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,"Seal all joints, gaps, cracks and penetrations with Polybit HydraFlex polurethane sealant. - Apply selected sealant as per datasheet & application guidelines",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 1st coat of Polybit Hydraguard PU on floors with a turnup up and over external hobs. - Apply selected membrane at a rate of 1.5kg/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 2nd coat of Polybit Hydraguard PU on floors with a turnup up and over external hobs - Apply selected membrane at a rate of 1.5kg/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Dry day for second coat (if required).,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,"Apply PolyGuard protective UV top coat. - Apply selected top coat at a rate of 0.2-0.6 kg/m2 in one or two coats, depending on traffic conditions as per datasheet & application guidelines",,,,,,,
checkpoint,"the WPM must be terminated at the specified height outlined in the wind classification report Via saw cut reglet or other WPM termination method specified at AS 4654.2, or can be overlap by approved elastomeric weather-resist coating by min. 150mm.",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Carry out dry film thickness test using positector coating thickness inspection instruction. - Review result against datatsheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Attatch photos for the drainage conduit.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,If required - Rectification of defective works for failure of flood test/thickness test & all works completed.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Final sign off - All general waterproofing work completed as per the above ITP,,,,,,,
note,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,,
,,,,,,,,
checklist,Lift Pits Waterproofing (Balconies),,,,,Yes,Lift Pits Waterproofing (Balconies),
section,Details,,,,,,,
checkpoint,"Area barricaded off to allow no access to balconies with signs posted/ visible to include date of application, ""No access waterproofing work in progress""",,,,,,,
note,Attach relevant photos,,,,,,,
tickbox,Membrane system & methodology checked off against Aland standard waterproofing details & MSDS,,,,,,,
tickbox,"Substrate clean, structurally sound & ready to receive membrane as per application guidelines of specified waterproofing system.",,,,,,,
tickbox,Ensure no high points or crevices are in the substrate,,,,,,,
tickbox,HOLDPOINT - Do not proceed if above has not been signed off,,,,,,,
checkpoint,Dampen the surface to ensure the highest level of adhesion,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 1st coat of Polybit Hydralastic Flex 2K on walls and floors - Apply selected membrane at a rate of 1.6kg/m2 for 1.0-2.0mm thickness as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 2nd coat of Polybit Hydralastic Flex 2K on walls and floors - Apply selected membrane at a rate of 1.6kg/m2 for 1.0-2.0mm thickness as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Inspect for any remaining leaks and treat with HydraPlug - Apply selected sealant as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Carry out dry film thickness test using positector coating thickness inspection instruction. - Review result against datatsheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,If required - Rectification of defective works for failure of flood test/thickness test & all works completed.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Final sign off - All general waterproofing work completed as per the above ITP,,,,,,,
note,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,,
,,,,,,,,
checklist,Balcony,,,,,Yes,Balcony Waterproofing,
section,Details,,,,,,,
checkpoint,"Area barricaded off to allow no access to balconies with signs posted/ visible to include date of application, ""No access waterproofing work in progress""",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,WP details listed at architectural drawings for clarifications are followed.,,,,,,,
tickbox,Membrane system & methodology checked off against Aland standard waterproofing details & MSDS,,,,,,,
tickbox,"Substrate clean, structurally sound & ready to receive membrane as per application guidelines of specified waterproofing system.",,,,,,,
tickbox,Ensure no high points or crevices are in the substrate,,,,,,,
tickbox,HOLDPOINT - Do not proceed if above has not been signed off,,,,,,,
checkpoint,Apply Polybit PVC primer to all PVC drains and pipes - Apply selected primer at a rate of 100ml/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Prime substrate with Polybit Hydrapoxy or PU primer - Apply selected primer at a rate of 150-200 gr/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,"Seal all corners, joints, gaps, cracks and penetrations with Polybit HydraFlex polurethane sealant - Apply selected sealant as per datasheet & application guidelines",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Balustrade base i.e shoe base or angle base installed & grouted with structural grout (as required),,,,,,,
note,Joint between bttom of base & substrate to be no greater than 10mm with continuous bead of caulking,,,,,,,
checkpoint,Overflow at the ends of balustrades in place,,,,,,,
note,Approximate width of over floor to be 50mm,,,,,,,
note,Height of overflow must be lower than the bttom of subsill,,,,,,,
note,Angle to be installed between end of base & wall with top of angle to be at FFL,,,,,,,
checkpoint,Apply 1st coat of Polybit Hydraguard PU on floors with a turnup of 100mm on walls - Apply selected membrane at a rate of 1.5kg/m2 as per datasheet & application guidelines,,,,,,,
checkpoint,"The WPM must be terminated at the specified height outlined in the wind classification report, also the WPM must be employ at the water stop angles for doors and wondow (if Applicable)",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 2nd coat of Polybit Hydraguard PU on floors with a turnup of 100mm on walls - Apply selected membrane at a rate of 1.5kg/m2 as per datasheet & application guidelines,,,,,,,
checkpoint,"The WPM must be terminated at the specified height outlined in the wind classification report, also the WPM must be employ at the water stop angles for doors and wondow (if Applicable)",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Dry day for second coat (if required).,,,,,,,
checkpoint,Carry out dry film thickness test using positector coating thickness inspection instruction. - Review result against datatsheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Attatch photos for the drainage conduit.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,If required - Rectification of defective works for failure of flood test/thickness test & all works completed.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Final sign off - All general waterproofing work completed as per the above ITP,,,,,,,
note,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,,
,,,,,,,,
checklist,Internal Wet Area (Bathrooms & Laundries) Waterproofing,,,,,Yes,Internal Wet Area (Bathrooms & Laundries) Waterproofing,
section,Details,,,,,,,
checkpoint,"Area barricaded off to allow no access to balconies with signs posted/ visible to include date of application, ""No access waterproofing work in progress""",,,,,,,
note,Attach relevant photos,,,,,,,
tickbox,Membrane system & methodology checked off against Aland standard waterproofing details & MSDS,,,,,,,
tickbox,"Substrate clean, structurally sound & ready to receive membrane as per application guidelines of specified waterproofing system.",,,,,,,
tickbox,Ensure no high points or crevices are in the substrate,,,,,,,
tickbox,HOLDPOINT - Do not proceed if above has not been signed off,,,,,,,
checkpoint,Apply Polybit PVC primer to all PVC drains and pipes - Apply selected primer at a rate of 100ml/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
tickbox,Ensure all floor wastes & pipes have been primed in accordance with manufacturer's recommendations,,,,,,,
tickbox,Shower Angles in correct position & level,,,,,,,
tickbox,Door Angle is in correct position & level,,,,,,,
tickbox,Door & Shower Angle are 3mm guage aluminium,,,,,,,
tickbox,"Ensure humidity, temperature & moisture are in accordance with manufactuer's recommendations",,,,,,,
checkpoint,Primer substrate (walls and floors) with Polybit Hydrapoxy - Apply selected primer at a rate of 150-200 gr/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply angles to builders FFL as required.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Seal all joints and penetrations with Polybit HydraFlex polurethane sealant. - Apply selected sealant as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 1st coat of Polybit Hydraguard PU on floors with a turnup of 250mm on walls - Apply selected membrane at a rate of 1.5kg/m2 as per datasheet & application guidelines,,,,,,,
note,All floor wastes membranes to be turned down into floor waste,,,,,,,
checkpoint,Waterproof walls of shower section up to ceiling. Seal taps & the like. 2x coats required.,,,,,,,
tickbox,Min 150mm kicker has been waterproofed (do width of roller 230mm),,,,,,,
tickbox,Min 1500mm past shower screen has been waterproofed.,,,,,,,
tickbox,Waterproof all shower & adjacent walls,,,,,,,
tickbox,"Ensure humidity, temperature & moisture are in accordance with manufactuer's recommendations",,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 2nd coat of Polybit Hydraguard PU on floors with a turnup of 250mm on walls - Apply selected membrane at a rate of 1.5kg/m2 as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Dry day for second coat (if required).,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 2 coats of Polybit Hybrid 150 waterbased polyurethane membrane on walls as required. - Apply selected membrane at a rate of 1.0 litres/m2 per coat as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Carry out dry film thickness test using positector coating thickness inspection instruction. - Review result against datatsheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Conduct a flood test to internal wet area.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,If required - Rectification of defective works for failure of flood test/thickness test & all works completed.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Final sign off - All general waterproofing work completed as per the above ITP,,,,,,,
note,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,,
,,,,,,,,
checklist,Lift Pits Waterproofing,,,,,Yes,Lift Pits Waterproofing,
section,Details,,,,,,,
checkpoint,"Area barricaded off to allow no access with signs posted/ visible to include date of application, ""No access waterproofing work in progress""",,,,,,,
note,Attach relevant photos,,,,,,,
tickbox,Membrane system & methodology checked off against Aland standard waterproofing details & MSDS,,,,,,,
tickbox,"Substrate clean, structurally sound & ready to receive membrane as per application guidelines of specified waterproofing system.",,,,,,,
tickbox,Ensure no high points or crevices are in the substrate,,,,,,,
tickbox,HOLDPOINT - Do not proceed if above has not been signed off,,,,,,,
checkpoint,Dampen the surface to ensure the highest level of adhesion,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 1st coat of Polybit Hydralastic Flex 2K on walls and floors - Apply selected membrane at a rate of 1.6kg/m2 for 1.0-2.0mm thickness as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Apply 2nd coat of Polybit Hydralastic Flex 2K on walls and floors - Apply selected membrane at a rate of 1.6kg/m2 for 1.0-2.0mm thickness as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Inspect for any remaining leaks and treat with HydraPlug - Apply selected sealant as per datasheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Carry out dry film thickness test using positector coating thickness inspection instruction. - Review result against datatsheet & application guidelines,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,If required - Rectification of defective works for failure of flood test/thickness test & all works completed.,,,,,,,
note,Attach relevant photos,,,,,,,
checkpoint,Final sign off - All general waterproofing work completed as per the above ITP,,,,,,,
note,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,,
,,,,,,,,
checklist,Fire Sprinkler Tanks Waterproofing,,,,,Yes,Fire Sprinkler Tanks Waterproofing,
section,Details,,,,,,,
checkpoint,"Area barricaded off to allow no access with signs posted/ visible to include date of application, ""No access waterproofing work in progress""",,,,,,,
note,Attach relevant photos,,,,,,,
tickbox,Membrane system & methodology checked off against Aland standard waterproofing details & MSDS,,,,,,,
