"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f5fa29ad-28ec-4996-8018-38e8d52adb35","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"f0446e03-4af0-4cbc-a948-6d96aa454f6e","","not-started","Lift Pits Waterproofing","checklist","FALSE","FALSE","Site QA","Lift Pits"
"cd943875-b9fe-4145-a574-0723be7d2a77","","not-started","","folder","TRUE","FALSE","Site QA","Upper Ground"
"58c36a2f-bc4d-4292-82cf-ac6234e99fb7","","not-started","","folder","TRUE","FALSE","Site QA","Upper Ground","Commercial bathroom 1"
"e0266ca5-068a-403f-98c6-24c8ff73674f","","not-started","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Upper Ground","Commercial bathroom 1","Internal Wet Areas"
"4490526c-9d82-4352-907b-80111900b9ac","","not-started","","folder","TRUE","FALSE","Site QA","Upper Ground","Commercial bathroom 2"
"9a749a24-dd7b-4336-9d3a-e519231c3c21","","not-started","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Upper Ground","Commercial bathroom 2","Internal Wet Areas"
"2307608f-9fa2-4021-835b-cbd6d2e7f028","","not-started","","folder","TRUE","FALSE","Site QA","Upper Ground","Commercial bathroom 3"
"9c75cbad-e81f-41ec-9224-544a425001d8","","not-started","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Upper Ground","Commercial bathroom 3","Internal Wet Areas"
"7318908e-9329-4c3b-ad40-758773fc5805","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1"
"e6d33e8a-a009-4190-9ce6-47b5c42e7629","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","101"
"780e963e-2560-4be6-b119-d2a6bf287113","","pass","Hobs","checklist","FALSE","FALSE","Site QA","Level 1","101","Hobs"
"f21a81dd-0cec-40f6-bab2-af3309ebe979","","not-started","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 1","101","Internal Wet Areas"
"cc7165c3-f76e-4f49-8aff-fd3379934f48","","not-started","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Level 1","101","Balcony"
"1881cb4c-dd25-4a2e-ac04-5b59bd7c76ce","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","102"
"e43e4d58-0591-41a4-89df-609feb5a0577","","pass","Hobs","checklist","FALSE","FALSE","Site QA","Level 1","102","Hobs"
"a6b63af4-b81d-482c-af1c-625093e1d26f","","not-started","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 1","102","Internal Wet Areas"
"8881426d-4dee-40aa-a6f8-5d0c3694215d","","not-started","Balcony Waterproofing","checklist","FALSE","FALSE","Site QA","Level 1","102","Balcony"
