resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Fit Off,,,,,,,,
,step,,,,Ground,,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,G.01,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,G.02,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,G.03,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,G.04,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,G.05,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,G.06,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,G.07,,,,,,
,step,,,,Level 1,,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,101,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,102,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,103,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,104,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,105,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,106,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,107,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,108,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,109,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,110,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,111,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,112,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,113,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,114,,,,,,
,step,,,,Level 2,,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,201,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,202,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,203,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,204,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,205,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,206,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,207,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,208,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,209,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,210,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,211,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,212,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,213,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,214,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,215,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,216,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,217,,,,,,
,step,,,,Level 3,,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,301,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,302,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,303,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,304,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,305,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,306,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,307,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,308,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,309,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,310,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,311,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,312,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,313,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,314,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,315,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,316,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,317,,,,,,
,step,,,,Level 4,,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,401,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,402,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,403,,,,,,
Apartments - Fit Off Checklist,checklist,,,,,404,,,,,,
