resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,INDOORS,,,,,,,,
,step,,,INDOORS,A,,,,,,,
,step,,,INDOORS,A,Ground,,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.01,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.02,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.03,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.04,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.05,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.06,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.07,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.08,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.09,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.10,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.11,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.12,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.13,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.14,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.15,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.16,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.17,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,Ground,A.G.18,,,,,
,step,,,INDOORS,A,1,,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.01,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.02,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.03,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.04,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.05,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.06,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.07,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.08,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.09,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.10,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.11,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.12,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.13,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.14,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.15,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.16,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.17,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.18,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,1,A.1.19,,,,,
,step,,,INDOORS,A,2,,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.01,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.02,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.03,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.04,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.05,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.06,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.07,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.08,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.09,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.10,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.11,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.12,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.13,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.14,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.15,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.16,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.17,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.18,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,2,A.2.19,,,,,
,step,,,INDOORS,A,3,,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.01,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.02,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.03,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.04,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.05,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.06,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.07,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.08,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.09,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.10,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.11,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.12,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.13,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.14,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.15,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.16,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.17,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.18,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,3,A.3.19,,,,,
,step,,,INDOORS,A,4,,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.01,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.02,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.03,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.04,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.05,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.06,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.07,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.08,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.09,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.10,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.11,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.12,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.13,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.14,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.15,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.16,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.17,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.18,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,4,A.4.19,,,,,
,step,,,INDOORS,A,5,,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,5,A.5.01,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,5,A.5.02,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,5,A.5.03,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,5,A.5.04,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,5,A.5.05,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,5,A.5.06,,,,,
INDOOR WALL HUNG,checklist,,,INDOORS,A,5,A.5.07,,,,,
