resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Job Details Checklist,checklist,,,Job Details,,,,,,,,
,step,,,Panel QA,,,,,,,,
,step,,,,Building 9,,,,,,,
,step,,,,,Panels,,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-1,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-2,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-3,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-4,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-5,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-6,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-7,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-8,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-9,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-10,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-11,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-12,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-13,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-14,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-15,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-16,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-17,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-18,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-19,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-20,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-21,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-22,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-23,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-24,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-25,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-26,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-27,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-28,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-29,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-30,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-31,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-32,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-33,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-34,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-35,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-36,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-37,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-38,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-39,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-40,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-41,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-42,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-43,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-44,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-45,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-46,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-47,,,,,
Precast Panel QA (V2),checklist,,,,,,SL9-48,,,,,
,step,,,,,Stairs,,,,,,
Precast Panel QA (V1),checklist,,,,,,SL9-1s,,,,,
Precast Panel QA (V1),checklist,,,,,,SL9-2s,,,,,
Precast Panel QA (V1),checklist,,,,,,SL9-3s,,,,,
Precast Panel QA (V1),checklist,,,,,,SL9-4s,,,,,
Precast Panel QA (V1),checklist,,,,,,SL9-5s,,,,,
Precast Panel QA (V1),checklist,,,,,,SL9-6s,,,,,
