Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
e374823e-02d4-51a9-88c2-25dc461873c2,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-01,Prepour Checks,
4985a53a-82ec-54c0-95c3-4d4df78b6b9c,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-02,Prepour Checks,
48afd3f2-6906-5173-8582-ba1a442645f2,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-03,Prepour Checks,
a7a9faba-6ebe-5b7b-9285-5f488bf63406,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-04,Prepour Checks,
41277654-81c9-5103-ac66-39b255dd1e22,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-05,Prepour Checks,
80c417f9-5c85-53e8-94a8-6bc8fbc6b214,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-06,Prepour Checks,
eb87db96-4c07-5894-b1ab-c1c42541c649,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-07,Prepour Checks,
d12787eb-d70c-5e52-bc57-0fc13e1947f0,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-08,Prepour Checks,
909ae922-ad3d-54b3-803d-5a0fba65f2a3,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-09,Prepour Checks,
2bee670c-3ffb-5049-a4b9-5e49c19f4089,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-10,Prepour Checks,
673e5562-7809-599b-8a01-3ec8b28bd9c2,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-11,Prepour Checks,
0d088b2a-ffde-5865-9139-098bd3883942,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-12,Prepour Checks,
5a7966eb-6808-5a7a-8401-95a74c479feb,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-13,Prepour Checks,
bd2d3dc0-d743-5ee1-ab67-f5a3536adb06,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-14,Prepour Checks,
09482954-967c-507e-a8c6-dfe67b9a016d,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-15,Prepour Checks,
f41c4834-3441-5cf2-895e-702159522b8f,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-16,Prepour Checks,
20acc1a3-b5fb-5755-939b-24027c606b4b,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-17,Prepour Checks,
cbd4a8ec-3b7a-5af2-aa6a-c772b7d3be55,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-18,Prepour Checks,
1e27e8eb-73ec-56d7-8fb5-e749cded5871,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-19,Prepour Checks,
7748f441-8218-5528-b02c-630ccf27c0b5,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-20,Prepour Checks,
1efef3e6-616c-5508-be5b-be1e7d20f485,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-21,Prepour Checks,
172522f2-051d-5840-a845-cb2c3deb460b,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-22,Prepour Checks,
6095668f-d071-586c-8c26-86c894be36e5,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PC-23,Prepour Checks,
