Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
1312e2a4-8f35-5a17-bfd5-d046d2f86507,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-01,Prepour Checks,
3395ad1e-8579-5f1d-a857-15b67a5e6d54,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-02,Prepour Checks,
c40e3d6f-78f7-59bd-a25f-e6db7c3c2a0b,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-03,Prepour Checks,
89bb3636-a5ea-539a-b38d-bb20af4e5444,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-04,Prepour Checks,
887fcfe1-2f0c-5a1c-8385-c4c45626942d,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-05,Prepour Checks,
4c045934-276a-5e0f-885a-0f72eb418528,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-06,Prepour Checks,
824838fb-98e9-5cba-bf04-2dfc2095423b,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-07,Prepour Checks,
c9ed3749-c3c2-5f97-a392-99e8415d2323,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-08,Prepour Checks,
cf2b308e-ca24-5630-9b46-c80a4741b711,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-09,Prepour Checks,
b83b2e8b-fa7a-57eb-8c4f-31e7592548c0,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-10,Prepour Checks,
a8b1091e-967c-53fa-bc33-7fd6e7b832c2,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-11,Prepour Checks,
0654fcd6-d430-5a28-a90b-b8bbc48187aa,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-12,Prepour Checks,
55628a53-8482-57d2-a437-ec9b75378783,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-13,Prepour Checks,
33c0e496-142d-57cc-a29d-b8a241312323,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-14,Prepour Checks,
9c4df28d-c466-561f-a503-f817d650b050,,checkpoint-group,not-started,,,FALSE,FALSE,Panel QA,Panels,PG1-15,Prepour Checks,
