Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Stage 5 - B03 - Stopping (Plaster) Progress,,,,,,,
,Scope,,,,,,
,Rows,,,,,,
,,Level B - Basement,dynamic,level b - basement,stage 5 - b03,fit-out,
,,Level G - Ground - Corridor,grouping,level g - ground - corridor,,,
,,Corridor,,corridor,fit-out,level g - ground,stage 5 - b03
,,Level G - Ground - Area A,dynamic,fit-out,level g - ground,area a,stage 5 - b03
,,Level G - Ground - Area B,dynamic,fit-out,area b,level g - ground,stage 5 - b03
,,Level 1 - Corridor,grouping,level 1 - corridor,,,
,,Corridor,,corridor,fit-out,level 1,stage 5 - b03
,,Level 1 - Area A,dynamic,fit-out,area a,level 1,stage 5 - b03
,,Level 1 - Area B,dynamic,fit-out,area b,level 1,stage 5 - b03
,,Level 2 - Corridor,grouping,level 2 - corridor,,,
,,Corridor,,corridor,fit-out,stage 5 - b03,level 2
,,Level 2 - Area A,dynamic,fit-out,area a,stage 5 - b03,level 2
,,Level 2 - Area B,dynamic,fit-out,area b,stage 5 - b03,level 2
,Columns,,,,,,
,,Consider fire stopping between layers of lining & apply compound(s) as specified,,consider fire stopping between layers of lining & apply compound(s) as specified,,,
,,"Openings/penetrations/corners & bulkheads, correctly formed (consider tolerances)",,"openings/penetrations/corners & bulkheads, correctly formed (consider tolerances where applicable)",,,
,,"Consider square stopping, slimlines, joints checked & acceptable",,"consider square stopping, slimlines, joints checked & acceptable",,,
,,Correct compound(s) used to align with consented specifications,,correct compound(s) used to align with consented specifications,,,
,,"Adequate drying time between coats, no visible bubbling/deforms & each coat is sanded",,"adequate drying time between coats, no visible bubbling/deforms & each coat is sanded as applicable",,,
,,Light check completed to ensure no sheet joins stand out,,light check completed to ensure no sheet joins stand out,,,
,,Stopping work completed - specified level of finish achieved,,stopping work completed - specified level of finish achieved,,,
,,"Cove Installed, checked and acceptable",,"Cove Installed, checked and acceptable",,,
