resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Stage 3 - THB11 & 13,,,,,,,,
,step,,,,"THB 11 (TH33, 34, 35, 36)",,,,,,,
,step,,,,,TH 33,,,,,,
POST - S - Internal Lining - Ceilings,checklist,,,,,,Internal Lining Ceilings,,,,,
POST - S - Internal Lining - Walls,checklist,,,,,,Internal Lining Walls,,,,,
POST - S - Stopping ,checklist,,,,,,Stopping ,,,,,
,step,,,,,TH 34,,,,,,
POST - S - Internal Lining - Ceilings,checklist,,,,,,Internal Lining Ceilings,,,,,
POST - S - Internal Lining - Walls,checklist,,,,,,Internal Lining Walls,,,,,
POST - S - Stopping ,checklist,,,,,,Stopping ,,,,,
,step,,,,,TH 35,,,,,,
POST - S - Internal Lining - Ceilings,checklist,,,,,,Internal Lining Ceilings,,,,,
POST - S - Internal Lining - Walls,checklist,,,,,,Internal Lining Walls,,,,,
POST - S - Stopping ,checklist,,,,,,Stopping ,,,,,
,step,,,,,TH 36,,,,,,
POST - S - Internal Lining - Ceilings,checklist,,,,,,Internal Lining Ceilings,,,,,
POST - S - Internal Lining - Walls,checklist,,,,,,Internal Lining Walls,,,,,
POST - S - Stopping ,checklist,,,,,,Stopping ,,,,,
,step,,,,"THB 13 (TH37, 38, 39)",,,,,,,
,step,,,,,TH 37,,,,,,
POST - S - Internal Lining - Ceilings,checklist,,,,,,Internal Lining Ceilings,,,,,
POST - S - Internal Lining - Walls,checklist,,,,,,Internal Lining Walls,,,,,
POST - S - Stopping ,checklist,,,,,,Stopping ,,,,,
,step,,,,,TH 38,,,,,,
POST - S - Internal Lining - Ceilings,checklist,,,,,,Internal Lining Ceilings,,,,,
POST - S - Internal Lining - Walls,checklist,,,,,,Internal Lining Walls,,,,,
POST - S - Stopping ,checklist,,,,,,Stopping ,,,,,
,step,,,,,TH 39,,,,,,
POST - S - Internal Lining - Ceilings,checklist,,,,,,Internal Lining Ceilings,,,,,
POST - S - Internal Lining - Walls,checklist,,,,,,Internal Lining Walls,,,,,
POST - S - Stopping ,checklist,,,,,,Stopping ,,,,,
