resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 10,,,,,,,,
Standard Joinery template,checklist,,,,TEAPOINT,,,,,,,
,step,,,Level 11,,,,,,,,
Standard Joinery template,checklist,,,,LAUNDRY BENCH,,,,,,,
,step,,,Level 12,,,,,,,,
Standard Joinery template,checklist,,,,DESIGN PLAN STORAGE,,,,,,,
,step,,,Level 13,,,,,,,,
Standard Joinery template,checklist,,,,UTILITY,,,,,,,
,step,,,Level 14,,,,,,,,
Standard Joinery template,checklist,,,,STAIR BANQUETTE & PLANTER,,,,,,,
,step,,,Level 15,,,,,,,,
,step,,,Level 16,,,,,,,,
Standard Joinery template,checklist,,,,FRAMED SCREEN - WHITEBOARD [LEVEL 8],,,,,,,
,step,,,Level 17,,,,,,,,
Standard Joinery template,checklist,,,,FRAMED SCREEN - PINBOARD 1800,,,,,,,
,step,,,Level 18,,,,,,,,
Standard Joinery template,checklist,,,,FRAMED SCREEN - PINBOARD 1890,,,,,,,
,step,,,Level 19,,,,,,,,
Standard Joinery template,checklist,,,,FRAMED SCREEN - WHITEBOARD [LEVEL 8],,,,,,,
,step,,,Level 20,,,,,,,,
Standard Joinery template,checklist,,,,Customer service utility,,,,,,,
,step,,,Level 21,,,,,,,,
Standard Joinery template,checklist,,,,Mesh Screen ,,,,,,,
