Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,,,,
d8ea10ca-7d2e-4476-8d68-ad35e7a0c74e,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,First Floor,Unit 108,,,,,,,
49d6a827-7e16-4f15-a1c2-40d2fb84a167,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,First Floor,Unit 109,,,,,,,
f5100367-ecfe-4a1a-911f-d25dd5aa5cef,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,First Floor,Unit 110,,,,,,,
27c601dd-34d0-4ae0-9e32-2c08bafebee1,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,First Floor,Unit 111,,,,,,,
1e424214-8d8d-4e1a-9745-b57500ed3652,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,First Floor,Unit 112,,,,,,,
47c312ba-f9af-4efb-a01a-773ef1ade635,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,First Floor,Unit 113,,,,,,,
c3edc76e-19bf-42d5-bd9e-511d62b2ac9c,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Second Floor,Unit 208,,,,,,,
fb7a1989-403b-4263-af20-39d8f7e8f564,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Second Floor,Unit 209,,,,,,,
3fb4659b-ae3c-4bb4-9cb9-06320bba3545,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Second Floor,Unit 210,,,,,,,
7140c6bc-1ead-4a9e-8747-d0db00e5af07,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Second Floor,Unit 211,,,,,,,
f017b7d8-9ca3-4eee-b3db-9ced5cb0e13f,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Second Floor,Unit 212,,,,,,,
72aed56a-016a-4a31-8b86-f7745f098adf,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Second Floor,Unit 213,,,,,,,
bacaddbe-f617-4ba8-b27b-3d843a44740a,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Third Floor,Unit 308,,,,,,,
8ece95f5-0d14-44fc-be0d-d116b98e0741,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Third Floor,Unit 309,,,,,,,
829ec72e-62fa-49e6-aec0-5c689f734818,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Third Floor,Unit 310,,,,,,,
4450329c-303a-4c5b-a500-17f1a3896e7d,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Third Floor,Unit 311,,,,,,,
32a84f0e-861c-434c-9beb-bf31ef52badf,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Third Floor,Unit 312,,,,,,,
a261c717-58e2-42fc-b2aa-9db53ca07b91,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Third Floor,Unit 313,,,,,,,
7fb203b1-5f67-4651-82c1-6388415cc9a6,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fourth floor,Unit 407,,,,,,,
c5a2c4a7-e7a2-4f5e-bc2a-2d6ebbdb7d6a,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fourth floor,Unit 408,,,,,,,
f23740ef-4ba2-40ce-b249-55052049728f,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fourth floor,Unit 409,,,,,,,
66d540cf-b930-43d3-b25a-0b4770a9683b,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fourth floor,Unit 410,,,,,,,
0bd68320-8543-4fc2-9b85-586c63f324c2,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fourth floor,Unit 411,,,,,,,
35b61b41-aade-49ac-99b5-33331115ae3b,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fourth floor,Unit 412,,,,,,,
b67591b9-7398-464a-b2a2-c287679e4198,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fifth Floor,Unit 501,,,,,,,
d3a858e0-a1d6-45cb-a2df-db211f42ef15,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fifth Floor,Unit 502,,,,,,,
711f7d8b-c4b3-492a-aa6b-133ad524786f,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fifth Floor,Unit 503,,,,,,,
29f0f1d4-8e24-4a2f-b04a-a2acd20ad4ad,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fifth Floor,Unit 504,,,,,,,
ad487f4b-bb2e-4c64-951b-d65bc562e2db,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fifth Floor,Unit 505,,,,,,,
15f02898-fa46-43c1-8c60-c2ad0bb1e32a,,not-started,,folder,TRUE,FALSE,On Site QA,Garden Building,Fifth Floor,Unit 506,,,,,,,
