Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
b2f72eb0-ebeb-5f53-a78a-d66458ea2893,,checkpoint-group,pass,1fd03903455e85f7b560c30ab14130e55796e0872520f0e256e93825c7896e5e:efd3374d-586a-4e2d-ba28-f1924e4d28de,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 1a,Lower Left - 308,Casette Assembly
82d2a9b8-767b-5e69-a04a-6a36da98a995,,checkpoint-group,pass,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 1a,Lower Right - 309,Casette Assembly
9f6126e4-975c-5bf7-b109-416d6abeb231,,checkpoint-group,pass,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 1a,Upper Left - 408,Casette Assembly
c970ffb3-42a6-54c5-aa32-fdb54425add4,,checkpoint-group,pass,1fd03903455e85f7b560c30ab14130e55796e0872520f0e256e93825c7896e5e:efd3374d-586a-4e2d-ba28-f1924e4d28de,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 1a,Upper Right - 409,Casette Assembly
1b27f200-a0e4-513c-9b61-4c71d2769b8e,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 4,Lower Left - 410,Casette Assembly
08fb22ed-f50d-55b6-88ac-1e5e40fcdd37,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 4,Lower Right - 411,Casette Assembly
90f04310-2363-5864-8056-0acba0e0fcfe,,checkpoint-group,pass,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 4,Upper Left - 510,Casette Assembly
15cbdf6a-67f5-5327-b69b-e12e00977050,,checkpoint-group,pass,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 1,Type 4,Upper Right - 511,Casette Assembly
80a8c027-f0cc-561f-8a1a-3bfbf50b6f2c,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1b,Lower Left - 406,Casette Assembly
57cd0be5-c60b-5954-a48b-46ba64311388,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1b,Lower Right - 407,Casette Assembly
427e3aec-832a-508f-84aa-2f79b0664a87,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1b,Upper Left - 506,Casette Assembly
95ed1571-ecc3-5623-ac75-936b1a6a66d9,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1b,Upper Right - 507,Casette Assembly
56c24734-8d98-5df5-8b40-e4751a238ad1,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1c,Lower Left - 412,Casette Assembly
db056b4b-cc11-5843-983d-afa53fdb58e3,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1c,Lower Right - 413,Casette Assembly
31c43e59-5cd2-5fa7-8576-942170d00f0a,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1c,Upper Left - 512,Casette Assembly
c0c0eb98-5e6b-5b1e-9a46-04833fd62c40,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 1c,Upper Right - 513,Casette Assembly
904b800f-f40c-521f-82d9-ed6163b14f64,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 7,Lower - 414,Casette Assembly
5c3a8647-1ab7-5542-b93f-1e195e83a7c1,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 2,Type 7,Upper - 415,Casette Assembly
adda662f-0431-542c-b0bf-a4d2149f9d0f,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 2,Lower - 405,Casette Assembly
a60baa86-333c-5ed2-a598-e40ffe19f3de,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 2,Upper - 505,Casette Assembly
963a8d5c-3f26-54c8-b38a-7885904c5611,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 3,Lower Left - 404,Casette Assembly
d5841a0c-747f-5557-9855-a25770e9e90c,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 3,Lower Right - 404,Casette Assembly
a67f6269-2024-5bb6-91ed-1b9a8a453960,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 3,Upper Left - 504,Casette Assembly
94dc3f59-7bc8-594e-8455-d8fa5146a43a,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 3,Upper Right - 504,Casette Assembly
08456daa-eecc-5908-bdf9-314de3f306e7,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 5,Lower - 403,Casette Assembly
4f3a8156-a622-5b10-bf97-860835ec3204,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 3,Type 5,Upper - 503,Casette Assembly
67a3b972-6fa6-5d05-a950-4b28b774b9f3,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 4,Type 6,Lower Left - 401,Casette Assembly
dacc18d9-7e4e-5f3c-8fd5-56ea1c315339,,checkpoint-group,not-started,35c3e9c0d7753572ceea99c356f7badc55bc993bb97090934ebbc3647b1a1939:4ff9886c-125c-4c62-8db7-673ae845b318,,FALSE,FALSE,Belcanto Manufacturing,Block A,Stage 4,Type 6,Lower Right - 401,Casette Assembly
