Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Manufacturing - Overall Progress,,,,,,
,Scope,,,Belcanto Manufacturing,,
,Rows,,,,,
,,Fabrication - Building C,dynamic,Building C,Fabrication,Belcanto Manufacturing
,,Freighting - Loadout 1,dynamic,Loadout 1,Freighting,Belcanto Manufacturing
,,Freighting - Loadout 2,dynamic,Loadout 2,Freighting,Belcanto Manufacturing
,Columns,,,,,
,,Build Completion,,Build Completion,,
,,Build Status,Build Status,Build Completion,,
,,Currently Completed Sets,Currently Completed Sets,Build Completion,,
,,Required Set Total,Required Set Total,Build Completion,,
,,Date of Build Completion,Date of Build Completion,Build Completion,,
,,Fabrication QA Sheet,,Fabrication QA Sheet,,
,,Powder Coat Color,Powder Coat Color,Fabrication QA Sheet,,
,,Powder Coat Grade,Powder Coat Grade,Fabrication QA Sheet,,
,,List of QA Sheet Titles:,List of QA Sheet Titles:,Fabrication QA Sheet,,
,,Date of Latest Signature Signed on QA Sheet,Date of Latest Signature Signed on QA Sheet,Fabrication QA Sheet,,
,,Freighting,,Freighting,,
,,Freighting Shipment,Freighting Shipment,Freighting,,
,,Date this Shipment was Collected,Date this Shipment was Collected,Freighting,,
,,Number of Items in Consignment as Labeled,Number of Items in Consignment as Labeled,Freighting,,
,,"Close up Photo of Consignment Note & Label, on Item",,"Close up Photo of Consignment Note & Label, on Item",,
,,Freighting Images of Items Ready to Ship,,Freighting Images of Items Ready to Ship (a Pallet/ Bundle/ Box etc),,
,,Relay Depot,,Relay Depot,,
,,Using Relay Depot,Using Relay Depot,Relay Depot,,
,,All Items on Con-Note Present,All Items on Con-Note Present,Relay Depot,,
,,Details of Missing Items,Details of Missing Items (If Applicable),Relay Depot,,
,,Relay Depot,Relay Depot - (Condition of all Items on Arrival),Relay Depot,,
,,Site Arrival,,Site Arrival,,
,,All Items of Con-Note Present,All Items of Con-Note Present,Site Arrival,,
,,Details of Missing Items,Details of Missing Items (If Applicable),Site Arrival,,
,,Final Destination,Final Destination - (Condition of all Items on Arrival),Site Arrival,,
,,Proof of Item Arrival at Final Destination,,Proof of Item Arrival at Final Destination (a Pallet/ Bundle/ Box etc),,
,,Site Release,,Site Release,,
,,Items Accepted by Site Installers,Items Accepted by Site Installers,Site Release,,
,,Site Rejection Reason,Site Rejection Reason (If Applicable),Site Release,,
,,Date of Acceptance,Date of Acceptance,Site Release,,
,,Release of Items to Site,Release of Items to Site,Site Release,,
