resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,Building A,,,,,,,,
,step,,,,,Ground Floor,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,G08,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,G09,,,,,,
,step,,,,,Level 1,,,,,,,
,step,,,,,Level 2,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,201,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,202,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,203,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,204,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,205,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,206,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,207,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,208,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,209,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,210,,,,,,
,step,,,,,Level 3,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,301,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,302,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,303,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,204,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,205,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,206,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,207,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,208,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,209,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,210,,,,,,
,step,,,,,Level 4,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,401,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,402,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,403,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,404,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,405,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,406,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,407,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,408,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,409,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,410,,,,,,
,step,,,,,Level 5,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,501,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,502,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,503,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,504,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,505,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,506,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,507,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,508,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,509,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,510,,,,,,
,step,,,,,Level 6,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,601,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,602,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,603,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,604,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,605,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,606,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,607,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,608,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,609,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,610,,,,,,
,step,,,,,Level 7,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,701,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,702,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,703,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,704,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,705,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,706,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,707,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,708,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,709,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,710,,,,,,
,step,,,,,Level 8,,,,,,,
