resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Pre-Construction (Freezer),checklist,,,C&C Freezer Coolroom,,,,,,,,
Pre-Construction (Freezer),checklist,,,Bakery Freezer,,,,,,,,
Pre-Construction (Freezer),checklist,,,Seafood Freezer,,,,,,,,
Pre-Construction (Freezer),checklist,,,Butchery Freezer,,,,,,,,
Pre-Construction (Freezer),checklist,,,General Freezer,,,,,,,,
Pre-Construction (Coolroom),checklist,,,Seafood Coolroom,,,,,,,,
Pre-Construction (Coolroom),checklist,,,Bakery Coolroom,,,,,,,,
Pre-Construction (Coolroom),checklist,,,Deli Coolroom,,,,,,,,
Pre-Construction (Coolroom),checklist,,,Butchery Holding Room,,,,,,,,
Pre-Construction (Coolroom),checklist,,,Butchery Coolroom,,,,,,,,
Pre-Construction (Coolroom),checklist,,,Produce Coolroom,,,,,,,,
Pre-Construction (Coolroom),checklist,,,General Coolroom,,,,,,,,
Pre-Construction (Prep Area),checklist,,,Produce Prep Area,,,,,,,,
Pre-Construction (Prep Area),checklist,,,Butchery Prep Area,,,,,,,,
