type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Toolbox Meeting,,,,,,Toolbox Meeting
checkpoint,Toolbox signed off - Attach an forms,,,,,,
text,Work area,,,,,,
text,Supervisor,,,,,,
text,Date,,,,,,
text,Time am / pm,,,,,,
text,Actions from last meeting,,,,,,
text,Injuries last week,,,,,,
text,Near misses last week,,,,,,
text,Safety Items discussed,,,,,,
text,Comments from the floor,,,,,,
text,New business,,,,,,
text,Attendees,,,,,,
checkpoint,Attendance verified,,,,,,
