type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Columns Checklist,,,,,,Columns Checklist
checkpoint,Area accessible & ready,,,,,,
checkpoint,Drawing references entered,,,,,,
text,Architectural,,,,,,
text,Structural,,,,,,
text,Other,,,,,,
text,Column No,,,,,,
checkpoint,Current plans in use / Latest drawings checked and referenced,,,,,,
checkpoint,Survey points given for 2 points,,,,,,
checkpoint,"Datum RL supplied by surveyor, pour height marked",,,,,,
checkpoint,"Blockouts, couplers, cast-in elements installed",,,,,,
holdpoint,Inspection from site engineer,,,,,,
checkpoint,Column box cleaned & oiled,,,,,,
checkpoint,Placement of column box over cage,,,,,,
checkpoint,Bracing props secured,,,,,,
checkpoint,Column plumbed,,,,,,
checkpoint,Correct class of finish,,,,,,
