resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Stage 1,,,,,,,
,step,,,,,Basement,,,,,,
Walls Checklist,checklist,,,,,,Walls,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
,step,,,,,Ground,,,,,,
Suspended Slab Checklist,checklist,,,,,,Slab,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
Screens,checklist,,,,,,Screens,,,,,
,step,,,,,Level 1,,,,,,
Suspended Slab Checklist,checklist,,,,,,Slab,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
Screens,checklist,,,,,,Screens,,,,,
,step,,,,,Level 2,,,,,,
Suspended Slab Checklist,checklist,,,,,,Slab,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
Screens,checklist,,,,,,Screens,,,,,
,step,,,,,Level 3,,,,,,
Suspended Slab Checklist,checklist,,,,,,Slab,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
Screens,checklist,,,,,,Screens,,,,,
,step,,,,Stage 2,,,,,,,
,step,,,,,Ground,,,,,,
Suspended Slab Checklist,checklist,,,,,,Slab,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
,step,,,,,Level 1,,,,,,
Suspended Slab Checklist,checklist,,,,,,Slab,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
,step,,,,,Level 2,,,,,,
Suspended Slab Checklist,checklist,,,,,,Slab,,,,,
Columns Checklist,checklist,,,,,,Columns,,,,,
,step,,,Variations / SI,,,,,,,,
,step,,,Site Diary,,,,,,,,
,step,,,Toolbox,,,,,,,,
,step,,,Pre Start,,,,,,,,
,step,,,Incident Report,,,,,,,,
