type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Columns Checklist ,,,,,,
checkpoint,Area accessible & ready,,,,,,
checkpoint,Drawing references entered,,,,,,
text,Architectural,,,,,,
text,Structural,,,,,,
text,Other,,,,,,
text,Column No,,,,,,
checkpoint ,Current plans in use / Latest drawings checked and referenced,,,,,,
checkpoint ,Survey points given for 2 points,,,,,,
checkpoint,"Datum RL supplied by surveyor, pour height marked",,,,,,
checkpoint ,"Blockouts, couplers, cast-in elements installed ",,,,,,
holdpoint,Inspection from site engineer ,,,,,,
checkpoint,Column box cleaned & oiled ,,,,,,
checkpoint ,Placement of column box over cage,,,,,,
checkpoint,Bracing props secured,,,,,,
checkpoint,Column plumbed,,,,,,
checkpoint,Correct class of finish,,,,,,
,,,,,,,
checklist-flat,Suspended Slab Checklist ,,,,,,
checkpoint,Area accessible & ready,,,,,,
checkpoint,Drawing references entered ,,,,,,
checkpoint ,Materials used complies with design documentation,,,,,,
checkpoint ,Datum point used & soffit RLs checked,,,,,,
checkpoint,Grids marked by builder,,,,,,
checkpoint ,Surveyor points given for outside of building,,,,,,
checkpoint,Fillet & drip mould installed,,,,,,
checkpoint,Check set down position & RL,,,,,,
checkpoint,Check penetrations installed ,,,,,,
checkpoint,Prop drop head wedges are secure ,,,,,,
checkpoint ,Column blockouts installed,,,,,,
holdpoint,Inspection by site engineer ,,,,,,
checkpoint,check back propping as per design,,,,,,
checkpoint,Blow off deck,,,,,,
holdpoint,Do not commence concrete till all works agreed,,,,,,
checkpoint,Engage external consultant (engineer inspection),,,,,,
checkpoint,Correct Class of Finish,,,,,,
checkpoint,"Stripping, cleaning & materials removed",,,,,,
,,,,,,,
checklist-flat,Walls Checklist ,,,,,,
checkpoint,Area accessible & ready,,,,,,
checkpoint ,Drawing references entered,,,,,,
text,Architectural,,,,,,
text,Structural,,,,,,
text,Other,,,,,,
checkpoint ,Current plans in use ,,,,,,
checkpoint ,Survey points given for 2 points,,,,,,
checkpoint,Land shutter bracing props secured plumb shutter,,,,,,
checkpoint ,Datum RL supplied by surveyor pour height marked ,,,,,,
checkpoint,Blockouts steps penetrations marked & installed,,,,,,
checkpoint,Steel tied & clear from Z bar holes,,,,,,
checkpoint,Couplers & rebate boards installed ,,,,,,
checkpoint ,Base of walls cleaned ,,,,,,
holdpoint,Inspection by site engineer ,,,,,,
checkpoint,Closing shutter installed,,,,,,
checkpoint,Z bars secured wall straight & plumbed ,,,,,,
checkpoint,Correct Class of Finish,,,,,,
,,,,,,,
checklist,Stairs Checklist ,,,,,,
section,Phase 1,,,,,,
checkpoint,Area accessible & ready,,,,,,
