Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
576906f9-102d-491e-b577-f0aed6b7ecd5,,folder-normal,work-in-progress,,step,TRUE,FALSE,Site QA,Mezz Level,,,
72da4d3f-64a2-4823-ad47-cc62896e51e9,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 1,,,
2aff70d4-32f8-4c92-b500-10dd928e8d42,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 2,,,
09be000b-f112-42a8-bb93-bbe25f371947,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 3,,,
9c9d2709-6ecc-4bf0-b6f5-b2e1a6ddea05,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 4,,,
8525f246-af1d-4a82-b5ad-8eaccadf51c3,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 5,,,
4e911cef-2811-4139-84b2-ffb63d41f3c6,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 6,,,
aee250d2-bb41-4896-b053-536279f38c22,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 7,,,
1f8c6e6d-a204-4d9f-8d3d-341b330cdb93,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 8,,,
19ff5181-052a-4281-8642-fc2604ba9dbd,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 9,,,
f0c046ad-41fe-4790-a24c-7546d0280d74,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 10,,,
78c1e298-39c5-48b9-b4e5-4e9988ba713e,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 11,,,
0c25a8fe-b815-45ef-a02b-7d7a305c497d,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 12,,,
0bf11b73-2c5e-457d-b342-5064f3e5e2b2,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 13,,,
f4d344a8-04ec-4d73-80f9-38451257c80f,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 14,,,
a8ff61c6-e200-427e-ac8b-781596f750c9,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 15,,,
0d703d4e-4863-441a-8d34-4e3cc2458b36,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 16,,,
62169ea8-2f0c-40ed-b81f-e5d6444b151b,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 17,,,
f546cdce-41df-4eb1-bc9a-11bf6fc33b3b,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 18,,,
50a2fbfa-2075-45ed-8c8e-fd872e1e3903,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 19,,,
65b85411-6419-4ae9-b812-ea12427e0c6d,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 20,,,
95aab3af-cbd9-47f9-a86e-7bb1c6e41819,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 21,,,
5678894a-2929-430b-b6b8-f2059400473f,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 22,,,
b0d28e6c-4441-4ecb-8399-59682fc3ff96,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 23,,,
82401fc1-d3f3-447b-8932-b531d9aab724,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 24,,,
55bb0f2a-3b1a-456c-9fb6-c07f74e6de9a,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 25,,,
27b4c4aa-399d-4753-a4d7-2a11292b0305,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 26,,,
1f458e94-6bcb-4ee7-b561-d93f6ca1d517,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 27,,,
b1e155d4-cade-4c72-8ce6-249a8816ee90,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 28,,,
d86643bf-346c-46d1-901a-fbb20b9dc66f,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 29,,,
a6456d96-e40e-49ac-89ee-b3e0bf3e3545,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 30,,,
e87eb13a-2615-415a-ae86-62541d537250,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 31,,,
47e3ec7d-25b8-4e09-ad90-139a8b530a14,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 32,,,
6be64416-9b20-4cc5-9acc-3e90cd59921f,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 33,,,
45bb3346-ae97-442b-b56c-cef0b7a09102,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 34,,,
200058ec-3c9a-4d63-acb4-67c99f08282c,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 35,,,
e215bebe-f4b6-4953-ac15-e44cb9a08415,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 36,,,
93b21428-db3b-46ac-818d-2df51f5f8b2b,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 37,,,
0f5dc5bf-38f6-405c-87a6-4a7c24a90083,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 38,,,
b0f78465-45de-4f72-bc85-808a34df9eaa,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 39,,,
ee8564bd-4ee9-4169-9b86-1818e12ccd8a,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 40,,,
ca1ede16-0932-4b11-8b58-594c0847c6a2,,folder-normal,not-started,,step,TRUE,FALSE,Site QA,Level 41,,,
