Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
e3355ffb-d453-497c-946f-5183a46457ff,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Basement 4,System,,
8d6066e9-95c0-4153-876f-169e1367d308,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Basement 3,System,,
038ebf30-698d-493c-aa4c-52190ebe3f6e,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Ground,System,,
70c7b3c6-9399-445b-a775-6c00c5bc66b8,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 1,System,,
5ca9594e-29b0-463b-96a8-bf3ef3de34d7,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 2,System,,
7f8c91c2-616f-469d-bd5a-65ebdfe33530,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 3,System,,
5bad3a9f-aa2e-4d81-9813-771280b0fdf9,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 4,System,,
019d85f8-2d28-4bbe-9047-d55e112ef3ab,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 5,System,,
ce98865f-4477-4e4c-90d4-9c57973cddb1,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 6,System,,
29cf7327-5316-4ecb-864e-b8ad6783ebd6,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 7,System,,
4dab6b32-9346-4480-9568-322e0c800cda,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 8,System,,
4a020c95-f76f-4c88-8191-aaa4ea98c729,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Level 9,System,,
