Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
ac7a3974-a152-4433-bffe-e88ff1ba63b8,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Basement 2,Jump System / Climb Track Checklist,
166eea15-bbef-4d2f-84cc-ed37b57b3832,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,B-1,System,
bb79c6d5-1010-4f75-aa49-e9ba1184050d,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Ground,System,
1ecab550-b9ea-4bfc-9ca6-2b6b5a87a17a,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Mezz Level,System,
ba248f54-fcfb-4010-853f-5ed9935a2882,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 1,System,
43b3ae80-aee1-4d71-9ef7-730d414c5b11,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 2,System,
d0ba472c-99da-4a0c-84ff-bf96947a3f8a,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 3,System,
522c6f79-bf23-425f-9682-21d51cdeb101,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 4,System,
630a3ad3-407c-470d-a122-3df9658b4ae3,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 5,System,
c3e0c218-524c-4295-b04c-8fe5d2dabff2,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 6,System,
4c94a631-1c4e-4ea9-84e1-ae45f372e40b,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 7,System,
a435b6cd-0197-492d-90a3-bd113f08f9e3,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 8,System,
4c5d0fd1-5447-463c-a0ec-1cda686353fd,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 9,System,
47fc3383-5549-477d-909f-c89685fc17cf,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 10,System,
935c3211-3187-427f-93fa-526ac3246900,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 11,System,
db4a3c3e-361f-4d53-b651-7895f0689c6d,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 12,System,
0c1aafb8-10bb-4f32-bc0d-9c405ab55ffd,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 13,System,
2688ef0c-17a3-43b5-a0c5-23079bea4b16,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 14,System,
1add745a-b072-4317-a3c7-a7a6bb8580f9,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 15,System,
7c89efa1-5a93-4cbb-ac5b-e4bc187dc243,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 16,System,
30238cc8-6007-4733-b495-3f4ee0e09cc6,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 17,System,
f671afe3-224d-4c77-b7d1-f57c39bd91c3,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 18,System,
a6124ed0-1cbc-407f-9f88-10223af96757,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 19,System,
c584050d-f7c3-48c0-a709-6a69e1c55ebc,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 20,System,
5e73999f-4879-4648-bc77-0eb4198c9ba8,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 21,System,
5f197c7e-afa2-4349-9e12-e62e6a78ea88,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 22,System,
93016938-525d-4517-afbd-4afcc9939999,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 23,System,
2ba555f7-ec17-409c-8654-e2a1fda49bef,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 24,System,
9e522401-0d7e-461e-b524-cb9218e50f66,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 25,System,
8099525b-8dd4-48ca-8d3e-b4a842897f02,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 26,System,
eafcde7a-e1b1-4cf3-91f6-2a6adcb45b45,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 27,System,
ee9f6626-e9bd-4e46-bc4b-c2cfd1c47014,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 28,System,
5dce7f06-5d84-42e5-b71d-4ab9a5d00da6,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 29,System,
c9867361-e4fd-4316-811e-ffef5c63fca0,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 30,System,
f5da7857-126e-4ce9-a12e-74ad7ba9c81b,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 31,System,
123c6e14-050b-410b-9f4d-bbaea23d7eb1,,checklist-sectioned,not-started,Jump System / Climb Track Checklist,checklist,FALSE,FALSE,Site QA,Tower 1,Level 32,System,
