"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6cbe248e-aa50-4ea3-8bdd-e19dbdd20e3d","","","","folder","TRUE","FALSE","Site QA"
"db657fcf-9b1e-4d4f-9648-75ce5e0537a9","","","","folder","TRUE","FALSE","Site QA","SOG B-2"
"a1c1e59a-5e76-40dd-9312-dedc3116e5a9","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","SOG B-2","Lift Over Run"
"94e016ab-8e8d-4d50-9cc4-09220967a956","","","S.O.G Checklist","checklist","FALSE","FALSE","Site QA","SOG B-2","SOG Edge Boards"
"8f113c76-3463-4638-9be8-5ae487199e7f","","","","folder","TRUE","FALSE","Site QA","Basement 2"
"6af398ee-a804-41fd-a8a2-753d63e9463f","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Basement 2","Columns"
"409ed363-dd87-4ef4-9d85-52ddba2f8698","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Basement 2","Walls"
"7358ef5c-5c72-4a4e-8844-02c3e339bbcd","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Basement 2","System"
"beb7848a-232d-4380-a373-fa3f9f3d810f","","","","folder","TRUE","FALSE","Site QA","Basement 1"
"640b3ea1-d749-4ece-b4a7-b9cb388db85d","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","Columns"
"7a1ed082-87ea-49ad-9e2a-d37a68dc8311","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","Walls"
"04b79645-66ca-4800-a466-c44002e54547","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","System"
"f986042a-6506-498f-bdb3-7160545b29ee","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","Slab"
"817db50c-0804-4856-bfbc-bcbe9d65b4e3","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","Stairs"
"3941b742-1ee4-46c7-8960-ccf4979d0d55","","","","folder","TRUE","FALSE","Site QA","Ground"
"c953fecf-d32e-4378-8f90-c414f77718ba","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Ground","Columns"
"0f340c7b-1716-44ee-b454-fe2eb9b03cdc","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Ground","Walls"
"667f1a88-c885-4f58-b9dd-f1d78bc2afe8","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Ground","System"
"399afd2b-ed7c-4636-b98c-1b050a935753","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Ground","Slab"
"bbd4b036-d0d5-4d42-a90e-f935e21ea79b","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ground","Stairs"
"dacd7ea4-0da8-42e5-b6ab-252fd198703e","","","","folder","TRUE","FALSE","Site QA","Mezz Level"
"3ad5ee0b-ed6f-41e1-a288-0576371afeb2","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Columns"
"e26a478b-7732-4464-a99f-03470df57de7","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Walls"
"2b41fa97-014d-4fd4-ba39-80b861db9eb7","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","System"
"fdec3349-55b3-473c-8a81-3d454e920c12","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Slab"
"24d46504-38eb-4ff5-aa08-a1c93ef72a48","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Stairs"
"6b9ef021-c2d6-4ec0-9a37-ae1af30cfb3d","","","","folder","TRUE","FALSE","Site QA","Level 1"
"a785e74e-5bd1-4ce6-851e-349e8638e5cb","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Columns"
"6fbe1342-b729-4f94-8a95-10b0e9a4d119","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Walls"
"1338d4e4-ea75-4f69-b997-f15a4e273774","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 1","System"
"ed85ea64-7944-40d5-a74a-1000f965125f","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Slab"
"86fa41dd-c3cb-4548-bac1-dddaa7b4c91d","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs"
"0bd51739-4055-4afc-9742-4f7d663cf806","","","","folder","TRUE","FALSE","Site QA","Level 2"
"3fbb9509-a929-4dfb-a259-8f4bbababcb5","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Columns"
"628c8c50-0f32-4abd-98ab-a3dcf44278bd","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Walls"
"bae51e78-34a3-4c05-9c93-1434ee447b29","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 2","System"
"90316649-7b80-4d85-9384-30bf0ff05e91","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Slab"
"f7dc9068-0a63-4a25-bb27-e8c42cf01add","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stairs"
"2bbed053-726b-4ec7-b6d3-4b2c2f669bd4","","","","folder","TRUE","FALSE","Site QA","Level 3"
"82db6b0e-8599-406d-ad20-5e5d14596107","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Columns Checklist"
"71b201c7-b370-47bd-873a-cdbd20b581b6","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Walls Checklist"
"d0756163-0f3c-4ea5-9ec3-624c1896acdf","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Jump System / Climb Track Checklist"
"a7b2220e-fc3f-4ca0-bc6a-aae4710de56f","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Suspended Slab Checklist"
"7ba28642-bd97-4da5-97cc-cf30553e39fa","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Stairs Checklist"
"063a168d-1e8c-4836-abef-595729d1c392","","","Screens","checklist","FALSE","FALSE","Site QA","Level 3","Screens"
"e1280d31-bd0e-4380-a414-775b760908bd","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 3","Hoist"
"1a63494d-0b5c-432b-ae42-b054b8edcc57","","","","folder","TRUE","FALSE","Site QA","Level 4"
"03361035-2827-4a62-bf4d-cc8dd2b486b9","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Columns Checklist"
"9c2a3075-b277-4688-b3e1-6027c8844d82","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Walls Checklist"
"69ac912f-f980-47f1-befa-5152965f334c","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Jump System / Climb Track Checklist"
"a69b126b-38b5-4cd6-9184-9e0d71957de0","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Suspended Slab Checklist"
"5700da15-e811-4dec-b78d-5d91b78a905f","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Stairs Checklist"
"d9b7aee2-08e9-4fb9-9702-28847706780b","","","Screens","checklist","FALSE","FALSE","Site QA","Level 4","Screens"
"753546f8-31ba-4803-9742-59cd8fa8837a","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 4","Hoist"
"8a746913-9aea-4c2b-915f-82ea4289ad09","","","","folder","TRUE","FALSE","Site QA","Level 5"
"1aa910cd-0380-4636-9532-df874957857b","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Columns Checklist"
"1d5df975-402e-4a61-aec0-20d5d3d63a10","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Walls Checklist"
"f5caf259-f79b-405c-bb33-56b2622806e3","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Jump System / Climb Track Checklist"
"daf1b8a0-0c80-4435-8a3a-330aff97e262","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Suspended Slab Checklist"
"ba8f979b-e487-414d-bf45-1633eb889bbf","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Stairs Checklist"
"b495cf52-d62f-4814-bd6a-6bdcdfd49f93","","","Screens","checklist","FALSE","FALSE","Site QA","Level 5","Screens"
"0419dff5-68e1-48db-a57d-c655bb418727","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 5","Hoist"
"6967d04d-87c4-47fd-a1d9-5203742b7ecd","","","","folder","TRUE","FALSE","Site QA","Level 6"
"ad3cfb0b-a68d-4012-bea1-993647d51081","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Columns Checklist"
"38001f5f-a42a-48b6-b259-061cb5728315","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Walls Checklist"
"d2215a9d-2a1e-4079-9b02-512531b9a489","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Jump System / Climb Track Checklist"
"af0a1145-0937-48be-a2f9-2173d926077e","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Suspended Slab Checklist"
