Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
7ba28642-bd97-4da5-97cc-cf30553e39fa,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 3,Stairs Checklist,,,
5700da15-e811-4dec-b78d-5d91b78a905f,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 4,Stairs Checklist,,,
ba8f979b-e487-414d-bf45-1633eb889bbf,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 5,Stairs Checklist,,,
4661f274-f601-43b2-a3b8-660c0d40d733,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 6,Stairs Checklist,,,
c5d8239a-e888-45fd-bf41-234c9210cee5,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 7,Stairs Checklist,,,
85e95ee7-729b-4479-ba06-a274fa17c614,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 8,Stairs Checklist,,,
778a3265-d633-4a68-8d1b-89cd051f25f4,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 9,Stairs Checklist,,,
72626c44-4ff6-4f9b-9009-e9b846fa4786,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 10,Stairs Checklist,,,
b35b5122-2b3f-4284-90f0-0e0a4a660d64,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 11,Stairs Checklist,,,
7f125c82-f61f-4415-80ce-b2f88179ebec,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 12,Stairs Checklist,,,
aca5f185-4429-4bed-97c5-a8180605583c,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 13,Stairs Checklist,,,
945602ff-e2d4-43b9-9f96-16fcca14b6a5,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 14,Stairs Checklist,,,
cc53d333-2afc-4a33-8ef1-985cea6ef02d,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 15,Stairs Checklist,,,
e31f55e5-22c5-415d-83dd-f5b19c212f2e,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 16,Stairs Checklist,,,
b77e5657-b77e-4501-af18-1a2f3cd52e36,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 17,Stairs Checklist,,,
302f53d5-5794-49d2-8952-11297efebafd,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 18,Stairs Checklist,,,
c0b7fe09-bb49-47de-9a43-5e14fbdd40e8,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 19,Stairs Checklist,,,
630152b5-95e5-4eed-ab52-602c9bab2765,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 20,Stairs Checklist,,,
1b90947e-5c5f-4246-bfdd-026435abff8e,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 21,Stairs Checklist,,,
5eb72f74-9f1f-46a0-9e11-7d1ea7794e06,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 22,Stairs Checklist,,,
4ba638e4-8bf7-48a6-80c2-97c16489c1b2,,,Stairs Checklist,checklist,FALSE,FALSE,Site QA,Level 23,Stairs Checklist,,,
