resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,Fitoff,,,,,,,,
,,,,step,,,,BUILDING-A,,,,,,,
,,,,step,,,,,Level-2,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A208,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A209,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A210,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A211,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A212,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A213,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A214,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A215, ,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A216,,,,,
Common Area Fitoff Checklist [D],Sign Off,,,folder-with-checklists,,,,,,Common Area,,,,,
,,,,step,,,,,Level-3,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A308,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A309,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A310,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A311,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A312,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A313,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A314,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A315,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A316,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A317,,,,,
Common Area Fitoff Checklist [D],Sign Off,,,folder-with-checklists,,,,,,Common Area,,,,,
,,,,step,,,,,Level-4,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A408,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A409,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A410,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A411,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A412,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A413,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A414,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A415,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A416,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A417,,,,,
Common Area Fitoff Checklist [D],Sign Off,,,folder-with-checklists,,,,,,Common Area,,,,,
,,,,step,,,,,Level-5,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A508,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A509,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A510,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A511,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A512,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A513,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A514,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A515,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A516,,,,,
