resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,BUILDING-A,,,,,,,,
,,,,step,,,,Level-1,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A101,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A102,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A103,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A104,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A101,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A102,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A103,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A104,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-2,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A201,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A202,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A203,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A204,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A205,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A201,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A202,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A203,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A204,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A205,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-3,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A301,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A302,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A303,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A304,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A305,,,,,
,,,,step,,,,,,A306,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,,Bed,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,,Living,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A307,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A308,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A309,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A310,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A311,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A301,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A302,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A303,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A304,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A305,,,,,
,,,,step,,,,,,A306,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,,Bed,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,,Living,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A307,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A308,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A309,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A310,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A311,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-4,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A401,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A402,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A403,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A404,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A405,,,,,
,,,,step,,,,,,A406,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,,Bed,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,,Living,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A407,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A408,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A409,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A410,,,,,
Wall Closure Checklist 2 Rough In [P],Sign Off,,,folder-with-checklists,,,,,,A411,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A401,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A402,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A403,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A404,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A405,,,,,
,,,,step,,,,,,A406,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,,Bed,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,,Living,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A407,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A408,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A409,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A410,,,,,
Ceiling Closure Checklist 2 Rough In [Q],Sign Off,,,folder-with-checklists,,,,,,A411,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-5,,,,,,,
