Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
08eb600b-c406-4ab7-b785-138b08872a58,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 2,2A,ITP 007b Recessed Skirting Installation,
24fa31ef-8fc6-4ec3-bb87-22afe2f862cf,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 2,2C,ITP 007b Recessed Skirting Installation,
d2de047f-b570-426a-959c-cf10fbcd3ee5,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 2,2D,ITP 007b Recessed Skirting Installation,
f24ea5d3-4da9-4bed-b829-e4f8e643bc08,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 3,3D,ITP 007b Recessed Skirting Installation,
15ae540a-d3b8-4322-9de1-eec6d842175c,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 5,5D,ITP 007b Recessed Skirting Installation,
affcce0f-8c03-4a82-8180-8d84139f1e8f,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 6,6D,ITP 007b Recessed Skirting Installation,
dc9409c6-3803-4c56-acf6-80be6b0796a9,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 7,7D,ITP 007b Recessed Skirting Installation,
a4e43955-3805-416e-bc70-829d7dacf95b,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 8,8D,ITP 007b Recessed Skirting Installation,
01a407b7-c6f5-4505-9a30-2019c47fc159,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 9,9D,ITP 007b Recessed Skirting Installation,
9dc8a1dd-7df3-4a4a-b064-40842f304ca3,,checklist-flat,not-started,ITP 007b Recessed Skirting Installation,checklist-flat,FALSE,FALSE,Site QA,Level 10,10D,ITP 007b Recessed Skirting Installation,
