Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
98681710-710e-4c6f-ba2c-8cbe5ff86632,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 4-5,Precast Landing,Built Sign-off
6df0fe5f-86e6-4f40-ac42-88d2791b2450,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 5-6,Precast Landing,Built Sign-off
bf0297a6-9e3c-46fa-a21d-18962655b8f6,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 6-7,Precast Landing,Built Sign-off
7cd49bcf-7367-43d5-bda8-72c241e0a960,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 7-8,Precast Landing,Built Sign-off
96e916e4-e7f3-43df-8c5e-c49b3d1bf213,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 8-9,Precast Landing,Built Sign-off
5cc57c44-c5ee-40c7-9d0a-9bcda5dc10cf,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 9-10,Precast Landing,Built Sign-off
d537730e-ed88-491e-9f4d-86d313c27a13,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 10-11,Precast Landing,Built Sign-off
517c73a0-95c9-41e6-af4e-c86a32d0e9dc,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 11-12,Precast Landing,Built Sign-off
d15384f3-918c-4920-b494-6630a3ec4b8d,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 12-13,Precast Landing,Built Sign-off
ac23d4eb-74aa-481c-b866-c0508442b777,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 13-14,Precast Landing,Built Sign-off
3b47d149-f6ed-4508-bd3c-191cd887d294,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 14-15,Precast Landing,Built Sign-off
261b6427-e0a5-4eaa-91f3-f28981e18ff1,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 15-16,Precast Landing,Built Sign-off
79855dcb-2ba8-4d4c-8ea8-795edae4de29,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 16-17,Precast Landing,Built Sign-off
193946e0-4c8a-4cea-8164-902b73b03082,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 17-18,Precast Landing,Built Sign-off
3cb37d70-2dcd-4eeb-9eac-8c9dfc6a2ab8,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 18-19,Precast Landing,Built Sign-off
6a016760-7ec9-44eb-a002-bd7edf298e4a,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 19-20,Precast Landing,Built Sign-off
4b0911a6-3141-49b0-9755-8428c3d29a25,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 20-21,Precast Landing,Built Sign-off
42bf1f35-2b75-4d19-b879-f6ea5e0aaaba,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 21-22,Precast Landing,Built Sign-off
c032a487-04f8-4191-b817-3073ef419ebd,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 22-23,Precast Landing,Built Sign-off
778993bd-46e1-42d6-a8a2-4bab5bdd708e,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 23-24,Precast Landing,Built Sign-off
c216bf38-2a7a-4d68-9c92-1680e456b8e1,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 24-25,Precast Landing,Built Sign-off
c6cf1768-efbf-4f35-9573-c0f35e19d320,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 25-26,Precast Landing,Built Sign-off
1721b1b8-f809-4c52-bd25-79d45abc96bf,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 26-27,Precast Landing,Built Sign-off
addc793b-a32f-4e0a-8f86-a3341e4dfee3,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Site QA,Stair ST01 & ST02,Level 27-28,Precast Landing,Built Sign-off
