resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Risers,,,,,,,,
Risers Checklist,checklist,,,,B3,,,,,,,
Risers Checklist,checklist,,,,B2,,,,,,,
Risers Checklist,checklist,,,,B1,,,,,,,
Risers Checklist,checklist,,,,G,,,,,,,
Risers Checklist,checklist,,,,L1,,,,,,,
Risers Checklist,checklist,,,,L2,,,,,,,
Risers Checklist,checklist,,,,L3,,,,,,,
Risers Checklist,checklist,,,,L4,,,,,,,
Risers Checklist,checklist,,,,L5,,,,,,,
Risers Checklist,checklist,,,,L6,,,,,,,
Risers Checklist,checklist,,,,L7,,,,,,,
Risers Checklist,checklist,,,,L8,,,,,,,
Risers Checklist,checklist,,,,L9,,,,,,,
Risers Checklist,checklist,,,,L10,,,,,,,
Risers Checklist,checklist,,,,L11,,,,,,,
Risers Checklist,checklist,,,,L12,,,,,,,
Risers Checklist,checklist,,,,L13,,,,,,,
Risers Checklist,checklist,,,,L14,,,,,,,
Risers Checklist,checklist,,,,L15,,,,,,,
Risers Checklist,checklist,,,,L16,,,,,,,
Risers Checklist,checklist,,,,L17,,,,,,,
Risers Checklist,checklist,,,,L18,,,,,,,
Risers Checklist,checklist,,,,L19,,,,,,,
Risers Checklist,checklist,,,,L20,,,,,,,
Risers Checklist,checklist,,,,L21,,,,,,,
Risers Checklist,checklist,,,,L22,,,,,,,
Risers Checklist,checklist,,,,L23,,,,,,,
Risers Checklist,checklist,,,,L24,,,,,,,
Risers Checklist,checklist,,,,L25,,,,,,,
Risers Checklist,checklist,,,,L26,,,,,,,
Risers Checklist,checklist,,,,L27,,,,,,,
Risers Checklist,checklist,,,,L28,,,,,,,
Risers Checklist,checklist,,,,L29,,,,,,,
