"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"53af4ced-d05f-4313-8537-9b6469ec70b5","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"53ebe9dc-8450-4690-9458-ee00b94401fb","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins"
"816a9356-f3bb-4b07-94c0-63a3cb72ca88","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Ground Level"
"82455e00-4d22-437d-aad6-e88df0736dd6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Ground Level","South"
"86451c4d-79cb-47a3-93d4-298600e72aa4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Ground Level","South","Slab"
"63d1f8c2-bea5-4759-b54e-5de37b4d995a","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Ground Level","South","Slab","Mechanical Services"
"b4b100ec-b071-4cdf-92f3-4a3ecbd9dce0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Ground Level","West"
"166005ad-a13b-4c0b-a772-88063fc39679","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Ground Level","West","Slab"
"7e79a126-6eae-40b9-b2ae-84fc07d57deb","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Ground Level","West","Slab","Mechanical Services"
"b92f6f40-da04-40db-ab45-235eba748a90","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Ground Level","North"
"be300d94-b2a7-4ba6-8059-93f67b09454f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Ground Level","North","Slab"
"7e65b546-7ef2-40e9-89f4-a4d69b97ec13","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Ground Level","North","Slab","Mechanical Services"
"d8dabd28-7202-4d85-af23-04b286cb5316","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 1"
"409d80bd-b782-4da3-a00c-ae5c18b0a459","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 1","South"
"fc6f25b5-5b62-4ba2-9917-67901ec19782","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 1","South","Slab"
"fa7718b4-64a6-431c-b2f0-c68fbe0c3373","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 1","South","Slab","Mechanical Services"
"9e0e99a9-8064-4c83-baeb-84457908a8d7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 1","West"
"29be1394-20d7-45eb-b105-4fa947b79eae","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 1","West","Slab"
"239f5521-ad80-4b71-b12a-34fd1e32cb61","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 1","West","Slab","Mechanical Services"
"926089fa-19c7-4d9b-bdcd-e9f0921b0c4e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 1","North"
"e1af50a2-3ab4-4bf4-b5f2-1867a72802cd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 1","North","Slab"
"75326be1-9d8c-4751-8737-c463c2dab2c6","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 1","North","Slab","Mechanical Services"
"1cc97e5c-f03a-4e1f-be40-002b7f91daff","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 2"
"9a504e00-0063-4973-8757-0c0c919fc278","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 2","South"
"428ad1dd-9ffe-44ba-a993-12e27a8c13f6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 2","South","Slab"
"4f27b3d5-7d2d-4d25-90cb-1fd0f0faa170","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 2","South","Slab","Mechanical Services"
"2f192ccf-06d8-4ec4-be31-b9fca97dca77","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 2","West"
"02e6b7f1-4d8a-484c-a369-837c86cf215f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 2","West","Slab"
"557eabeb-5a68-4610-98a3-5d119b4ffdf0","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 2","West","Slab","Mechanical Services"
"ccc2c5bc-5c67-4290-91c2-231bfec645cb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 2","North"
"efdfa29f-8d5e-49f9-8e65-7c87194c96f7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 2","North","Slab"
"5c32a0b9-27bd-4af9-8311-957ed70a9fed","","checklist-flat","not-started","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 2","North","Slab","Mechanical Services"
"66485a89-81b8-43fb-9e0e-3e54e218c7c4","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 3"
"1a220338-8b32-4a7a-a329-d7b3004ba860","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 3","South"
"a1682009-b194-4c0b-8421-c2faa37c0b27","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 3","South","Slab"
"9ccb0106-d1c6-4297-971d-c1fbd4abee74","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 3","South","Slab","Mechanical Services"
"54c2bbcc-e8af-4631-93a5-095444092078","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 3","West"
"be1ea682-9905-4e3f-abea-4e9c0468f36a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 3","West","Slab"
"8270801c-40bb-4a7c-8b8e-65a063f94961","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 3","West","Slab","Mechanical Services"
"39785978-7d10-4dcc-913c-b70392c4d3e6","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 3","North"
"08a41af7-8744-4394-bafe-3af8f4e2a7ff","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 3","North","Slab"
"fc20a6a0-ccf4-4b89-8643-ee2ea076416b","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 3","North","Slab","Mechanical Services"
"4ad024d5-5c9f-4c0a-a3e1-5671e5edac24","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4"
"713f28d2-b5a9-4019-a345-1a5f8d7acd8f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","East"
"87901033-0b2d-4dab-a4f2-f3ba2f7a2c35","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","East","Slab"
"47a66e88-231a-4a74-8116-2a98ee5a276e","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 4","East","Slab","Mechanical Services"
"4a895079-e7a3-4912-8bee-dc444dc61be4","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","South"
"7e1e054e-5e78-4b92-8e9e-02d495ad9c64","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","South","Slab"
"cec9138b-e7b7-48ab-b628-760c7262aeeb","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 4","South","Slab","Mechanical Services"
"1ca1a87c-b574-4850-aad8-63cb3cbfebe5","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","West"
"c8b9cd5c-eb67-41d8-86dc-4eeba143e34f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","West","Slab"
"57441f0d-6c02-4451-aec9-51263884010a","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 4","West","Slab","Mechanical Services"
"35f43f9c-c14e-46f8-aeac-4932cef6f426","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","North"
"cecdffca-a52f-4414-91c5-0382d87f90d2","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 4","North","Slab"
"87d86827-f69f-4210-b9fb-5fb003d2bf70","","checklist-flat","fail","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 4","North","Slab","Mechanical Services"
"b4b3627a-f0c4-484b-8755-cd40b63ade08","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 5"
"8ccf7dcd-f9d4-482f-8e2c-a2592ce4b3d3","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 5","East"
"17d8b8fe-1cba-4a20-9d43-27a575719209","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 5","East","Slab"
"63589239-eb88-4749-bcc9-127d48345dfe","","checklist-flat","fail","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 5","East","Slab","Mechanical Services"
"cfdd67dc-41dd-437c-8b7e-017ef8446e3b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 5","South"
"ac2b77cc-fd2b-47f8-a7a4-47fb9331acb3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 5","South","Slab"
"0d73e08d-45ea-4efe-ae2d-a6f80c71972f","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 5","South","Slab","Mechanical Services"
