Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,BC1: Substructure ,grouping,BC1: Substructure ,,
,,Concrete Pour for Area: Crane Base,,BC1: Substructure ,Concrete Pour for Area: Crane Base,
,,Concrete Pour for Area: Pile Cap Grid D5+,,BC1: Substructure ,Concrete Pour for Area: Pile Cap Grid D5+,
,,Concrete Pour for Area: Ramp Ground Beams ,,BC1: Substructure ,Concrete Pour for Area: Ramp Ground Beams ,
,,Concrete Pour for Area: Lift Pit Slab,,BC1: Substructure ,Concrete Pour for Area: Lift Pit Slab,
,,Concrete Pour for Area: Lift Pit walls and ground beams ,,BC1: Substructure ,Concrete Pour for Area: Lift Pit walls and ground beams ,
,,Underslab Services for Area: B1,,BC1: Substructure ,Underslab Services for Area: B1,
,,Backfill for Area: B1,,BC1: Substructure ,Backfill for Area: B1,
,,BC1: Substructure - Waterproofing,dynamic,BC1: Substructure ,Waterproofing,
,,BC1: Substructure - Piling,dynamic,BC1: Substructure ,Piling,
,,BC2: Structure - Basement 1,dynamic,BC2: Structure,Basement 1,
,,BC2: Structure - Ground Level ,dynamic,BC2: Structure,Ground Level ,
,,BC2: Structure - Level 1,dynamic,BC2: Structure,Level 1,
,,BC2: Structure - Level 2,dynamic,BC2: Structure,Level 2,
,,BC2: Structure - Level 3,dynamic,BC2: Structure,Level 3,
,,BC2: Structure - Level 4,dynamic,BC2: Structure,Level 4,
,,BC2: Structure - Level 5,dynamic,BC2: Structure,Level 5,
,,BC2: Structure - Roof ,dynamic,BC2: Structure,Roof ,
,,BC3: Facade - Ground Level,dynamic,BC3: Facade,Ground Level,
,,BC3: Facade - Level 1,dynamic,BC3: Facade,Level 1,
,,BC3: Facade - Level 2,dynamic,BC3: Facade,Level 2,
,,BC3: Facade - Level 3,dynamic,BC3: Facade,Level 3,
,,BC3: Facade - Level 4,dynamic,BC3: Facade,Level 4,
,,BC3: Facade - Level 5,dynamic,BC3: Facade,Level 5,
,,BC3: Facade - Roof,dynamic,BC3: Facade,Roof,
,,BC4: Fitout ,dynamic,BC4: Fitout ,,
,Columns,,,,,
,,QA,,The Grey,,
