Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Pallisade Matrix,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Riverdale East Primary School,grouping,Riverdale East Primary School,,
,,Run B,expanded,Run B,Site QA,Riverdale East Primary School
,,Run C,expanded,Run C,Site QA,Riverdale East Primary School
,,Run F,expanded,Run F,Site QA,Riverdale East Primary School
,,Run G,expanded,Run G,Site QA,Riverdale East Primary School
,,Run H,expanded,Run H,Site QA,Riverdale East Primary School
,,Run I,expanded,Run I,Site QA,Riverdale East Primary School
,,Run J,expanded,Run J,Site QA,Riverdale East Primary School
,,Rockback Murray Rd Primary School,grouping,Rockback Murray Rd Primary School,,
,,Run A,expanded,Run A,Site QA,Rockback Murray Rd Primary School
,,Run B,expanded,Run B,Site QA,Rockback Murray Rd Primary School
,,Run H,expanded,Run H,Site QA,Rockback Murray Rd Primary School
,,Run I,expanded,Run I,Site QA,Rockback Murray Rd Primary School
,,Run J,expanded,Run J,Site QA,Rockback Murray Rd Primary School
,,Tarneit Missen House Primary School,grouping,Tarneit Missen House Primary School,,
,,Run C,expanded,Run C,Site QA,Tarneit Missen House Primary School
,,Run D,expanded,Run D,Site QA,Tarneit Missen House Primary School
,,Run E,expanded,Run E,Site QA,Tarneit Missen House Primary School
,,Run G,expanded,Run G,Site QA,Tarneit Missen House Primary School
,,Run H,expanded,Run H,Site QA,Tarneit Missen House Primary School
,,Holyoake Parade Primary School,grouping,Holyoake Parade Primary School,,
,,Run B,expanded,Run B,Site QA,Holyoake Parade Primary School
,,Run C,expanded,Run C,Site QA,Holyoake Parade Primary School
,,Run D,expanded,Run D,Site QA,Holyoake Parade Primary School
,,Run E,expanded,Run E,Site QA,Holyoake Parade Primary School
,,Run G,expanded,Run G,Site QA,Holyoake Parade Primary School
,,Run H,expanded,Run H,Site QA,Holyoake Parade Primary School
,,Lollypop Creek Primary School,grouping,Lollypop Creek Primary School,,
,,Run A,expanded,Run A,Site QA,Lollypop Creek Primary School
,,Run B,expanded,Run B,Site QA,Lollypop Creek Primary School
,,Run C,expanded,Run C,Site QA,Lollypop Creek Primary School
,,Run E,expanded,Run E,Site QA,Lollypop Creek Primary School
,,Run G,expanded,Run G,Site QA,Lollypop Creek Primary School
,,Run H,expanded,Run H,Site QA,Lollypop Creek Primary School
,,Run I,expanded,Run I,Site QA,Lollypop Creek Primary School
,,Warringa Park Special School (Part of Tarneit Missen),grouping,Warringa Park Special School (Part of Tarneit Missen),,
,,Run A,expanded,Run A,Site QA,Warringa Park Special School (Part of Tarneit Missen)
,Columns,,,,,
,,Footings,,Footings,,
,,Posts,,Posts,,
,,Panels,,Panels,,
,,Gates,,Gates,,
,,General housekeeping,,General housekeeping,,
,,,,,,
Chainmesh Matrix,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Riverdale East Primary School,grouping,Riverdale East Primary School,,
,,Run A,expanded,Run A,Site QA,Riverdale East Primary School
,,Run D,expanded,Run D,Site QA,Riverdale East Primary School
,,Run E,expanded,Run E,Site QA,Riverdale East Primary School
,,Rockback Murray Rd Primary School,grouping,Rockback Murray Rd Primary School,,
,,Run C,expanded,Run C,Site QA,Rockback Murray Rd Primary School
,,Run D,expanded,Run D,Site QA,Rockback Murray Rd Primary School
,,Run E,expanded,Run E,Site QA,Rockback Murray Rd Primary School
,,Run F,expanded,Run F,Site QA,Rockback Murray Rd Primary School
,,Run G,expanded,Run G,Site QA,Rockback Murray Rd Primary School
,,Run K,expanded,Run K,Site QA,Rockback Murray Rd Primary School
,,Tarneit Missen House Primary School,grouping,Tarneit Missen House Primary School,,
,,Run A,expanded,Run A,Site QA,Tarneit Missen House Primary School
,,Run B,expanded,Run B,Site QA,Tarneit Missen House Primary School
,,Run F,expanded,Run F,Site QA,Tarneit Missen House Primary School
,,Holyoake Parade Primary School,grouping,Holyoake Parade Primary School,,
,,Run A,expanded,Run A,Site QA,Holyoake Parade Primary School
,,Run F,expanded,Run F,Site QA,Holyoake Parade Primary School
,,Lollypop Creek Primary School,grouping,Lollypop Creek Primary School,,
,,Run D,expanded,Run D,Site QA,Lollypop Creek Primary School
,,Run F,expanded,Run F,Site QA,Lollypop Creek Primary School
,Columns,,,,,
,,Footings,,Footings,,
,,Posts,,Posts,,
,,Rail & Fittings,,Rail & Fittings,,
,,Chainmesh,,Chainmesh,,
,,Gates,,Gates,,
,,General Housekeeping,,General Housekeeping,,
