resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Underside Level 1,,,,,,,,
,step,,,,Nullifire SC902,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,E-Line 949,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Carboguard 636,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Carboguard 504,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,Underside Level 2,,,,,,,,
,step,,,,Nullifire SC902,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Nullifire SC802,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Pro-seal,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,E-Line 949,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Carboguard 636,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Carboguard 504,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,Underside Level 3,,,,,,,,
,step,,,,Nullifire SC902,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Nullifire SC802,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Pro-seal,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,E-Line 949,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Carboguard 636,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
,step,,,,Carboguard 504,,,,,,,
,step,,,,,Daily QC Checklist,,,,,,
,step,,,,,QC Inspection Report,,,,,,
,step,,,,,QA Inspection Report,,,,,,
Area Completion Checklist (V1),checklist,,,,,Area Completion,,,,,,
