resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,ARC-1101B Lvl 01 - Sheet B - General Arrangement Plan Level 01 - Sheet B Revision G,,,,,,,,
,step,,,,Lettable Space P0101,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP30- Interface Composure 4169 Seclusion CushionBac,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,ARC-1101E Lvl 01 Sheet E - General Arrangement Plan Level 01 - Sheet E Revision 1,,,,,,,,
,step,,,,L1 - Room ,,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS30- Sphera Energetic Ebony R10,,,,,,
,step,,,,Office,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
,step,,,,OOSHC,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Store,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
,step,,,,Vestibule,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,ARC-1101H Lvl 01 Sheet H - General Arrangement Plan Level 01 - Sheet H Revision 1,,,,,,,,
,step,,,,Administration ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,,Circulation ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,,Interview Room ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,,Kitchenette ,,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS505(VL-07)- Altro Contrax Colour: CX2014N Earth Brown (140 cove),,,,,,
24.10 ITP - Vinyl,checklist,,,,,140 mm Coving,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Principal's Office ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,,Reception ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
,step,,,,Sick Bay ,,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS20- Sphera Energetic Elephant R10,,,,,,
,step,,,,Staff & Student Entry ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Waiting ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,ARC-1102C Lvl 02 Sheet C - General Arrangement Plan Level 02 - Sheet C Revision 1,,,,,,,,
,step,,,,Common Area ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP32- RC+D Pattern: Alpha (IC) Colour: 22 Backing: Dual Bond,,,,,,
,step,,,,Kitchen & Servery ,,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS30- Sphera Energetic Ebony R10,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS510(VL-13)- Armstrong Wallflex Neutral White,,,,,,
24.10 ITP - Vinyl,checklist,,,,,140 mm Coving,,,,,,
,step,,,,Meeting ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP30- Interface Composure 4169 Seclusion CushionBac,,,,,,
,step,,,,Reception ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP30- Interface Composure 4169 Seclusion CushionBac,,,,,,
,step,,,ARC-1102H Lvl 02 Sheet H - General Arrangement Plan Level 02 - Sheet H Revision 1,,,,,,,,
,step,,,,Entry ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP02- Spectrum Nuway Module 1 A Semi Open Colour: Black,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Exploration Lab ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
,step,,,,Home Base Kinder ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,,Studio Lab & Learning Commons,,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS20- Sphera Energetic Elephant R10,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Home Base Grade 2 ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,"Media Hub, Games & Construction, Nook, Circulation ",,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,"HB Grade 1, Learning Commons",,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
,step,,,,Studio Lab & Learning Commons,,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS20- Sphera Energetic Elephant R10,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,ARC-1103C Lvl 03 Sheet C - General Arrangement Plan Level 03 - Sheet C Revision 1,,,,,,,,
,step,,,,Assistant Priest's Office ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP30- Interface Composure 4169 Seclusion CushionBac,,,,,,
,step,,,,Offices,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP30- Interface Composure 4169 Seclusion CushionBac,,,,,,
,step,,,,Kitchen,,,,,,,
24.10 ITP - Vinyl,checklist,,,,,RS30- Sphera Energetic Ebony R10,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Meeting Room ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP30- Interface Composure 4169 Seclusion CushionBac,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Priest's Office ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP30- Interface Composure 4169 Seclusion CushionBac,,,,,,
,step,,,ARC-1103H Lvl 03 Sheet H - General Arrangement Plan Level 03 - Sheet H Revision 1,,,,,,,,
,step,,,,Entry ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP01- Spectrum Portal Plus Colour: Onyx PP3071,,,,,,
24.10 ITP - Carpet,checklist,,,,,S & I Transition Trim,,,,,,
,step,,,,Exploration ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
,step,,,,HB Grade 4,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,,Incubator Formal ,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP21/31- Interface Composure 4169 Solitude CushionBac,,,,,,
,step,,,,HB Grade 3,,,,,,,
24.10 ITP - Carpet,checklist,,,,,CP20- Interface Composure 4169 Diffuse CushionBac,,,,,,
,step,,,,"Circulation, Media Hub ",,,,,,,
