"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"763f98ef-8fff-4ea1-8827-4071a87094de","","folder-normal","work-in-progress","","step","TRUE","FALSE","Fabrication & Site QA"
"7f209718-a7a3-4b36-b686-3354bcd184ed","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation"
"3d61952e-6b8d-4c44-b398-fbc3d7f540cc","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 11"
"141cc6c4-d163-4c9a-b405-27ebf362101d","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 11","N-L11-1"
"512f99c1-a120-4a78-bb2c-5c98caaa27c5","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 11","N-L11-1","Fabrication"
"9bf9be26-f7f2-4a3b-87e3-1854fb57b28a","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 11","N-L11-1","Receival of Panels Onsite"
"47b95264-3b09-4aca-9d29-91cb8c1851c3","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 11","N-L11-1","Removal of Non-Compliant Cladding"
"89ec3ebd-86c2-4f38-b91e-ef353a909809","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 11","N-L11-1","Installation of Panels"
"ab1247bc-1af5-425a-8ca0-05f6135b0d94","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 12"
"8fe8aa71-2916-4431-af0a-138ede2ddcaa","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 12","N-L12-1"
"e32ce806-7ddb-415b-ab38-4b6a0e116891","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 12","N-L12-1","Fabrication"
"741e1336-3341-473e-868b-9ce89b4232a3","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 12","N-L12-1","Receival of Panels Onsite"
"f8f17ab4-e282-4b0e-8eb1-f38799e85099","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 12","N-L12-1","Removal of Non-Compliant Cladding"
"b6ca538f-4be8-4628-a271-fc4fddb2c58c","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 12","N-L12-1","Installation of Panels"
"82204a10-ac38-48f1-9646-296ec24a79c2","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 13"
"c548f856-73a3-4679-8ac6-6ecab058184f","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 13","N-L13-1"
"8b266d2d-20d4-4c3c-93aa-0a7a89dc9208","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 13","N-L13-1","Fabrication"
"447c71a4-268e-42ba-a7b2-708330ff42eb","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 13","N-L13-1","Receival of Panels Onsite"
"f4e04a4b-bb74-4579-9e4a-e79c48c0e58f","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 13","N-L13-1","Removal of Non-Compliant Cladding"
"bcaa039e-5775-4ad3-88e7-1b068eb3ef4c","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 13","N-L13-1","Installation of Panels"
"86f67182-e931-4f0e-a8ae-7b781028a2e5","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 14"
"6dc29688-4b40-4abf-8f94-8a5c2e06b6d7","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 14","N-L14-1"
"e439f26e-de41-4a34-88a9-f4db5cad68ca","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 14","N-L14-1","Fabrication"
"5f95096e-6e21-4a3f-9450-690a466fd2eb","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 14","N-L14-1","Receival of Panels Onsite"
"c6b8aeb6-05b0-4376-a62b-a64dfeafaa05","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 14","N-L14-1","Removal of Non-Compliant Cladding"
"486ad055-626a-49cd-9f0f-65ad6a43bd20","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 14","N-L14-1","Installation of Panels"
"5be5cf26-5fd3-431a-b2e1-8b416f1ce465","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 15"
"c85c7e9c-5036-4149-b1ac-ccab61f976d2","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 15","N-L15-1"
"931a575b-fc7b-4949-b050-c62bdff83b15","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 15","N-L15-1","Fabrication"
"7ed6111b-9fc7-4ed9-ae21-8e1bff7341de","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 15","N-L15-1","Receival of Panels Onsite"
"6c2277d7-53d0-4cc4-a79a-761e12ca0f4e","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 15","N-L15-1","Removal of Non-Compliant Cladding"
"afe49211-2dbe-4a22-86fe-5440f6df55f3","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 15","N-L15-1","Installation of Panels"
"606bca2e-f1f5-4c34-8bb2-eb73136b60ab","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 16"
"0d68ecb5-34da-4ea0-9131-fe5ac06c9d1f","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 16","N-L16-1"
"e93c9a18-4cf5-436d-ac8f-479669493637","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 16","N-L16-1","Fabrication"
"c4d836ce-1938-4389-83b4-97b03572ee68","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 16","N-L16-1","Receival of Panels Onsite"
"514a7d22-2b5e-447c-b5a3-fcd861a952f8","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 16","N-L16-1","Removal of Non-Compliant Cladding"
"dd876172-5f1e-4472-b0dc-7562785a287e","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 16","N-L16-1","Installation of Panels"
"15fbfd6c-ca61-4f2f-a16b-258752a9e083","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 17"
"936e3130-1371-423a-a0ec-55efda14c84e","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 17","N-L17-1"
"069d40c6-a5ad-4727-969d-23a776dd8923","","checklist-flat","pass","Fabrication Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 17","N-L17-1","Fabrication"
"ee0ccb4a-a047-479f-9054-a3079ce8b388","","checklist-flat","pass","Receival of Panels Onsite Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 17","N-L17-1","Receival of Panels Onsite"
"0977d620-996b-499c-8ea8-044e8c54b97a","","checklist-flat","pass","Removal of Non-Compliant Cladding Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 17","N-L17-1","Removal of Non-Compliant Cladding"
"cdc1d035-4655-4aa7-8f01-9996b0136127","","checklist-flat","pass","Installation of Panels Checklist","checklist-flat","FALSE","FALSE","Fabrication & Site QA","North Elevation","Level 17","N-L17-1","Installation of Panels"
"52dd482f-f2e3-4c7d-8721-e4820d6b9edf","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 18"
"9e80aa36-485e-419a-ab5a-a285d6fd8529","","folder-normal","pass","","step","TRUE","FALSE","Fabrication & Site QA","North Elevation","Level 18","N-L18-1"
