Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
267dca46-101d-495d-8863-985e9faaf83b,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 1,1A,Bathroom
1c992018-260b-474b-9598-5fb86ee93858,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 1,1A,Ensuite
5e7e6f00-31ca-44f0-87b7-4c6878020f3f,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 1,1B,Bathroom
8d99fcd8-eed2-4758-a358-9b8d5d2c5f3a,,folder-normal,not-started,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 1,1B,Ensuite
8e7156fd-c49d-4450-898d-b68109fac632,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 1,1C,Bathroom
f5c1c8dc-5f3a-4b5d-a291-09ec8120e9c9,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 1,1C,Ensuite
c6d6836f-21ae-4567-847b-5052ef692263,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 2,2A,Bathroom
1eabb1d8-b780-48f4-8c5f-e7a39091fb25,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 2,2A,Ensuite
6be0169c-83e7-4fbb-a08d-b27cd43b5bd6,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 2,2B,Bathroom
0c4c0ae7-6c5b-4251-8dad-17771b6e3d22,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 2,2B,Ensuite
2fd31d7a-47ca-4839-b85a-f0349c23ecb3,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 2,2C,Bathroom
3d8b2fdf-5d9c-4cc7-8c1e-2530a9aa3006,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 2,2C,Ensuite
0e3a3b67-6871-40fe-8f00-83d25bff041b,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 3,3A,Bathroom
7c64aafb-5392-4232-8ced-4f3e00f9646c,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 3,3A,Ensuite
79b17b78-2189-400e-ad6c-ad7776623f02,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 3,3B,Bathroom
86403787-24ba-4866-bfca-3c474cae7504,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 3,3B,Ensuite
dc7d56c5-d992-4d97-acf4-73aac631ffb2,,folder-normal,pass,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 4,4A,Bathroom
ed931512-6bfc-4e5a-89a3-21cc45539684,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,North Block,Level 4,4A,Ensuite
0c1aa115-9b22-42be-8993-6e9a75f338a7,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1D,Bathroom
ceca7868-7560-4a3c-bbb6-e7dd0d0ca9cd,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1E,Bathroom
f6da4c59-90f0-431b-b8d6-dd0bfc7730d5,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1F,Bathroom
a59c6913-a102-4de6-8eb0-fd4403738b24,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1G,Bathroom
971fd016-b219-4608-af0e-639a0728dddf,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1H,Bathroom
5a30129a-883d-48cb-959b-c80945cef199,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1I,Bathroom
81097ea1-2619-4d5a-8976-f1b8b3c8de73,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1J,Bathroom
e41f7c16-6b20-4506-abf7-8cce9b5574e4,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1K,Bathroom
023d5458-8e02-4f38-90bc-cdcf92132706,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1L,Bathroom
49999544-1a85-4e74-8066-004e8a93664f,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1M,Bathroom
5161fe33-f536-491c-9ff5-5ffc63091e1f,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1N,Bathroom
75fa9486-cab3-4a8f-b712-d38ea02cf680,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1O,Bathroom
7b9e728a-df79-4a55-93e9-ef25ad440f6a,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1P,Bathroom
0a254f8b-1bb0-4a4e-b3b6-0fabc8ba613d,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1P,Ensuite
ed056781-aaa2-4206-8335-301a9848a3e9,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1Q,Bathroom
6b4e182c-11fb-4ede-b9ac-93c3d080065d,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1Q,Ensuite
514cc1eb-01dd-485f-8f74-6ce5b05bd0cd,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1R,Bathroom
63f5652f-365f-4dec-8ff1-65e0e960a685,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1R,Ensuite
5ad059bd-7d70-4b33-8764-702cb59a2085,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2D,Bathroom
6743ed7b-9236-4e39-b7c8-1d36b333eb88,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2E,Bathroom
2a9c3734-981c-45e5-aa1e-24ef4876c582,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2F,Bathroom
88a393ba-35d5-48e2-a89f-701f1f5a73df,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2G,Bathroom
d296e9b0-0dd9-4cfd-9d17-e0a8a3e402e0,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2H,Bathroom
3e26c639-e74d-459a-8a2f-73f473cc1054,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2I,Bathroom
9e557fe7-2f42-489a-866a-d20cfbb4c317,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2J,Bathroom
1882ea9c-a530-4697-875f-f045ec6d36a5,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2K,Bathroom
6b251384-da9a-4289-9c8e-ae3e452abc8b,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2L,Bathroom
f9f93877-1e0b-4d0c-9b7a-6e4938eed529,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2M,Bathroom
d4f6cfd9-0b68-4e3b-b247-ec302c47d799,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2N,Bathroom
221bbe51-e2d7-4486-b38d-bb319aede04f,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2O,Bathroom
9bf01813-b0bf-4211-abda-376b1dadba76,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2P,Bathroom
b94380b0-28b8-4a64-a4e9-249f4c712357,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2P,Ensuite
45fadd22-a4d6-484f-b715-39f733ee89cd,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2Q,Bathroom
ff3552de-be03-4350-97f3-d3d9e6e2ccb9,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2Q,Ensuite
345da8ba-835d-45ad-a8f3-ff4da684879c,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2R,Bathroom
498b359c-a268-4b70-8909-3b4886cd3ce9,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2R,Ensuite
2bde9770-1404-4db8-a379-e534d8f52920,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3C,Bathroom
16a67edb-2897-4f9d-8c97-097ff6703eaa,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3C,Ensuite
f11fc259-092a-4e5b-922d-38cc5add51dd,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3D,Bathroom
1bd70be5-ef95-48ee-8617-a694563cb5a1,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3D,Ensuite
04271c29-66e3-49f8-ab24-6efd03c7674a,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3E,Bathroom
6a78cdcb-88a2-48b0-8ba9-bee52bab04a7,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3E,Ensuite
ad98a50b-4547-446b-b56f-b93f6191d07b,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3F,Bathroom
6169c5a6-db5c-4b13-b9d7-59785aadc94b,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3F,Ensuite
878ecc11-dd90-47d8-9727-24fe118e6d7f,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3G,Bathroom
1d7aa548-5201-4a39-8567-42e2d8444344,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3G,Ensuite
a07dcd5e-8bb3-4b16-995b-03420a45cabb,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3H,Bathroom
e56df5ac-9f19-49fe-8936-772dad86437b,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3H,Ensuite
97aa32ea-305a-4059-affa-10cfeb7912e0,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3I,Bathroom
fd059473-5f37-4556-980a-896a807b5dd0,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3I,Ensuite
2a084bc7-2e1d-471c-b30c-b12d49eb18ac,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3J,Bathroom
311b4086-cb51-4105-9bc8-93744975f38d,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3J,Ensuite
1f21653e-c2f0-4ffa-b392-10236c827f25,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4B,Bathroom
34f45e2b-d9b2-43cc-b3f2-fe8b91c06aec,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4C,Bathroom
ae5be02d-3f54-470e-a3b8-da580922714e,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4C,Ensuite
9ce1f5fb-b4ec-4cf8-981f-5704115ef063,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4D,Bathroom
8937fb3b-8117-4d21-921e-b68ce5e54f51,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4D,Ensuite
8954d564-60ba-466f-b370-3840379b43b0,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4E,Bathroom
7eeb4363-81c3-4b61-bf31-38dada373096,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4E,Ensuite
dc92e380-bf2f-40e1-a363-978edd5eb882,,folder-normal,not-started,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Ground floor,GA (2 Story Unit),Bathroom - Ground Floor
dd9750ee-dda7-4d07-b721-d5266844d2ee,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Ground floor,GA (2 Story Unit),Ensuite Master
29360b65-abfd-4108-b997-6d6de41ff52e,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Ground floor,GA (2 Story Unit),Ensuite Bedroom 2
e0b9e628-d666-43d9-bac0-4ed930d96880,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Ground floor,GB,Bathroom
8ed9ac3e-e404-4898-9f73-f942a4cab9cd,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Ground floor,GB,Ensuite
a5bc22cd-c3c2-4e26-9b72-15e8c8355780,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Level 1,1S,Bathroom
203375ec-4721-4367-8fd8-ea9563bc5868,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Level 1,1S,Ensuite
a47cf096-c0a4-400a-990c-b8e172074099,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Level 1,1T,Bathroom
161477fa-3e84-433d-b0ef-a9bac84379d8,,folder-normal,fail,,step,TRUE,FALSE,QA,Interior Fitout,South Block,Level 1,1T,Ensuite
