type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Stormwater Reclaim Tanks,,,,,,Stormwater Reclaim Tanks Checklist
section,Details,,,,,,
checkpoint,Drawing number and revision,,,,,,
checkpoint,Base formed and level,,,,,,
checkpoint,Tank connections at the correct heights and watertight,,,,,,
checkpoint,Pipework correct diameter,,,,,,
checkpoint,Tank colour,,,,,,
checkpoint,Tank volume,,,,,,
checkpoint,Overflow requirements met,,,,,,
checkpoint,Seismic design approved,,,,,,
checkpoint,Floats set to height if required,,,,,,
checkpoint,Level controls connection to BMS,,,,,,
