resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Externals,,,,,,,
Floor Plan,checklist,,,,,Floor Plan,,,,,,
External Window,checklist,,,,,#1,,,,,,
External Window,checklist,,,,,#2,,,,,,
External Window,checklist,,,,,#3,,,,,,
External Window,checklist,,,,,#4,,,,,,
External Window,checklist,,,,,#5,,,,,,
External Window,checklist,,,,,#6,,,,,,
External Window,checklist,,,,,#7,,,,,,
External Window,checklist,,,,,#8,,,,,,
External Window,checklist,,,,,#9,,,,,,
External Window,checklist,,,,,#10,,,,,,
External Window,checklist,,,,,#11,,,,,,
External Window,checklist,,,,,#12,,,,,,
External Window,checklist,,,,,#13,,,,,,
External Window,checklist,,,,,#14,,,,,,
External Window,checklist,,,,,#15,,,,,,
External Window,checklist,,,,,#16,,,,,,
External Window,checklist,,,,,#17,,,,,,
External Window,checklist,,,,,#18,,,,,,
External Window,checklist,,,,,#19,,,,,,
External Window,checklist,,,,,#20,,,,,,
External Window,checklist,,,,,#21,,,,,,
External Window,checklist,,,,,#22,,,,,,
External Window,checklist,,,,,#23,,,,,,
External Window,checklist,,,,,#24,,,,,,
External Window,checklist,,,,,#25,,,,,,
External Window,checklist,,,,,#26,,,,,,
External Window,checklist,,,,,#27,,,,,,
External Window,checklist,,,,,#28,,,,,,
,step,,,,Internals,,,,,,,
Floor Plan,checklist,,,,,Floor Plan,,,,,,
Internal Window,checklist,,,,,#29,,,,,,
Internal Window,checklist,,,,,#30,,,,,,
Internal Window,checklist,,,,,#31,,,,,,
Internal Window,checklist,,,,,#32,,,,,,
Internal Window,checklist,,,,,#33,,,,,,
Internal Window,checklist,,,,,#34,,,,,,
Internal Window,checklist,,,,,#35,,,,,,
Internal Window,checklist,,,,,#36,,,,,,
Internal Window,checklist,,,,,#37,,,,,,
Internal Window,checklist,,,,,#38,,,,,,
Internal Window,checklist,,,,,#39,,,,,,
Internal Window,checklist,,,,,#40,,,,,,
Internal Window,checklist,,,,,#41,,,,,,
Internal Window,checklist,,,,,#42,,,,,,
Internal Window,checklist,,,,,#43,,,,,,
Internal Window,checklist,,,,,#44,,,,,,
Internal Window,checklist,,,,,#45,,,,,,
Internal Window,checklist,,,,,#46,,,,,,
Internal Window,checklist,,,,,#47,,,,,,
Internal Window,checklist,,,,,#48,,,,,,
Internal Window,checklist,,,,,#49,,,,,,
Internal Window,checklist,,,,,#50,,,,,,
Internal Window,checklist,,,,,#51,,,,,,
Internal Window,checklist,,,,,#52,,,,,,
Internal Window,checklist,,,,,#53,,,,,,
Internal Window,checklist,,,,,#54,,,,,,
Internal Window,checklist,,,,,#55,,,,,,
Internal Window,checklist,,,,,#56,,,,,,
Internal Window,checklist,,,,,#57,,,,,,
Internal Window,checklist,,,,,#58,,,,,,
Internal Window,checklist,,,,,#59,,,,,,
Internal Window,checklist,,,,,#60,,,,,,
Internal Window,checklist,,,,,#61,,,,,,
Internal Window,checklist,,,,,#62,,,,,,
Internal Window,checklist,,,,,#63,,,,,,
Internal Window,checklist,,,,,#64,,,,,,
Internal Window,checklist,,,,,#65,,,,,,
Internal Window,checklist,,,,,#66,,,,,,
Internal Window,checklist,,,,,#67,,,,,,
Internal Window,checklist,,,,,#68,,,,,,
Internal Window,checklist,,,,,#69,,,,,,
Internal Window,checklist,,,,,#70,,,,,,
Internal Window,checklist,,,,,#71,,,,,,
Internal Window,checklist,,,,,#72,,,,,,
