resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Basement,,,,,,,,
Rework Checklist,checklist,,,,B201 - BOH Circulation,,,,,,,
Rework Checklist,checklist,,,,B202 - Air Handling Plant,,,,,,,
Rework Checklist,checklist,,,,B203 - No work,,,,,,,
Rework Checklist,checklist,,,,B204 - No work,,,,,,,
Rework Checklist,checklist,,,,B205 - Overflow Tank Room,,,,,,,
Rework Checklist,checklist,,,,B206 - Circulation,,,,,,,
Rework Checklist,checklist,,,,B207 - Fire pump Room,,,,,,,
Rework Checklist,checklist,,,,B208 - Service Corridor,,,,,,,
Rework Checklist,checklist,,,,B209 - MSSB Room,,,,,,,
Rework Checklist,checklist,,,,B210 - Plant,,,,,,,
Rework Checklist,checklist,,,,B211 - Chiller Room,,,,,,,
Rework Checklist,checklist,,,,B212 - Cold Water And Tank Pump,,,,,,,
Rework Checklist,checklist,,,,B213 - Store,,,,,,,
Rework Checklist,checklist,,,,B214 - Water Tank Store,,,,,,,
Rework Checklist,checklist,,,,B215 - Hotel Service Zone,,,,,,,
Rework Checklist,checklist,,,,B216 - IT Racks,,,,,,,
Rework Checklist,checklist,,,,B280a - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,B280b - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,B280c - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,B280d - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,B296 - Stair 2,,,,,,,
,step,,,Ground Floor,,,,,,,,
Rework Checklist,checklist,,,,1 - Hotel Lobby,,,,,,,
Rework Checklist,checklist,,,,2 - Service Duct,,,,,,,
Rework Checklist,checklist,,,,3 - Luggage,,,,,,,
Rework Checklist,checklist,,,,4 - Turning Bay,,,,,,,
Rework Checklist,checklist,,,,5 - Grease Trap,,,,,,,
Rework Checklist,checklist,,,,6 - Bin Wash Down,,,,,,,
Rework Checklist,checklist,,,,7 - Cool Store,,,,,,,
Rework Checklist,checklist,,,,8 - Cool Store,,,,,,,
Rework Checklist,checklist,,,,9 - Dock Control Room,,,,,,,
Rework Checklist,checklist,,,,10 - House Keeping,,,,,,,
Rework Checklist,checklist,,,,11 - House Keeping store,,,,,,,
Rework Checklist,checklist,,,,12 - Mini Bar Store,,,,,,,
Rework Checklist,checklist,,,,13 - Engineering,,,,,,,
Rework Checklist,checklist,,,,14 - Furniture Store,,,,,,,
Rework Checklist,checklist,,,,15 - Store,,,,,,,
Rework Checklist,checklist,,,,16 - Plant,,,,,,,
Rework Checklist,checklist,,,,17 - WC,,,,,,,
Rework Checklist,checklist,,,,18 - Stair 1 095,,,,,,,
Rework Checklist,checklist,,,,90 - FOH Circulation,,,,,,,
Rework Checklist,checklist,,,,80a - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,80b - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,80c - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,96 - Stair 2,,,,,,,
,step,,,L1 Mezz,,,,,,,,
Rework Checklist,checklist,,,,1M01  - Office,,,,,,,
Rework Checklist,checklist,,,,1M02 - BOH Circulation,,,,,,,
Rework Checklist,checklist,,,,1M03 - ,,,,,,,
Rework Checklist,checklist,,,,1M04 - Health Club,,,,,,,
Rework Checklist,checklist,,,,1M05 - Female Changing,,,,,,,
Rework Checklist,checklist,,,,1M06 - Male Changing,,,,,,,
Rework Checklist,checklist,,,,1M07 - Male Changing WC,,,,,,,
Rework Checklist,checklist,,,,1M08 - ACC WC,,,,,,,
Rework Checklist,checklist,,,,1M09 - Female Changing WC,,,,,,,
Rework Checklist,checklist,,,,1M10 - Staff Kitchen,,,,,,,
Rework Checklist,checklist,,,,1M80a - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,1M80b - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,1M95  - Stair 1,,,,,,,
Rework Checklist,checklist,,,,1M96 - Stair 2,,,,,,,
,step,,,Level 1,,,,,,,,
Rework Checklist,checklist,,,,H101 - Restaurant,,,,,,,
Rework Checklist,checklist,,,,H102 - Hotel Courtyard,,,,,,,
Rework Checklist,checklist,,,,H103 - Private Dining,,,,,,,
Rework Checklist,checklist,,,,H104,,,,,,,
Rework Checklist,checklist,,,,H105,,,,,,,
Rework Checklist,checklist,,,,H106 - Kitchen,,,,,,,
Rework Checklist,checklist,,,,H107 - PreFunction,,,,,,,
Rework Checklist,checklist,,,,H108 - WC,,,,,,,
Rework Checklist,checklist,,,,H109 - Reception,,,,,,,
Rework Checklist,checklist,,,,H110 - Conceirge,,,,,,,
Rework Checklist,checklist,,,,H111 - Entry,,,,,,,
Rework Checklist,checklist,,,,H112,,,,,,,
Rework Checklist,checklist,,,,H113 - Hotel Lobby Bar,,,,,,,
Rework Checklist,checklist,,,,H114 - Entry Lobby,,,,,,,
Rework Checklist,checklist,,,,H115 - No Work,,,,,,,
Rework Checklist,checklist,,,,H116 - Fire Exit,,,,,,,
Rework Checklist,checklist,,,,H117 - No Work,,,,,,,
Rework Checklist,checklist,,,,H180a - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,H180b - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,H180c - BOH Service Lobby,,,,,,,
Rework Checklist,checklist,,,,H195  - Stair 1,,,,,,,
Rework Checklist,checklist,,,,H196 - Stair 2,,,,,,,
Rework Checklist,checklist,,,,H1M01a - Offices,,,,,,,
Rework Checklist,checklist,,,,H1M01b - Offices,,,,,,,
Rework Checklist,checklist,,,,H1M01c - Offices,,,,,,,
Rework Checklist,checklist,,,,H1M02 - Staff Room,,,,,,,
Rework Checklist,checklist,,,,H1M03  - Meeting Room,,,,,,,
,step,,,Level 2,,,,,,,,
Rework Checklist,checklist,,,,201 - Room,,,,,,,
Rework Checklist,checklist,,,,202 - Room,,,,,,,
Rework Checklist,checklist,,,,203 - Room,,,,,,,
Rework Checklist,checklist,,,,204 - Room,,,,,,,
Rework Checklist,checklist,,,,205 - Room,,,,,,,
Rework Checklist,checklist,,,,206 - Room,,,,,,,
Rework Checklist,checklist,,,,207 - Room,,,,,,,
Rework Checklist,checklist,,,,208 - Room,,,,,,,
Rework Checklist,checklist,,,,209 - Room,,,,,,,
Rework Checklist,checklist,,,,210 - Room,,,,,,,
Rework Checklist,checklist,,,,211 - Room,,,,,,,
Rework Checklist,checklist,,,,212 - Room,,,,,,,
Rework Checklist,checklist,,,,214 - Room,,,,,,,
Rework Checklist,checklist,,,,215 - Room,,,,,,,
Rework Checklist,checklist,,,,216 - Room,,,,,,,
Rework Checklist,checklist,,,,217 - Room,,,,,,,
Rework Checklist,checklist,,,,218 - Room,,,,,,,
Rework Checklist,checklist,,,,219 - Room,,,,,,,
Rework Checklist,checklist,,,,220 - Room,,,,,,,
Rework Checklist,checklist,,,,221 - Room,,,,,,,
Rework Checklist,checklist,,,,222 - Room,,,,,,,
Rework Checklist,checklist,,,,223 - Room,,,,,,,
Rework Checklist,checklist,,,,224 - Room,,,,,,,
Rework Checklist,checklist,,,,225 - Room,,,,,,,
Rework Checklist,checklist,,,,226 - Room,,,,,,,
Rework Checklist,checklist,,,,227 - Room,,,,,,,
Rework Checklist,checklist,,,,228 - Room,,,,,,,
Rework Checklist,checklist,,,,229 - Room,,,,,,,
Rework Checklist,checklist,,,,230 - Room,,,,,,,
Rework Checklist,checklist,,,,241 - Risers,,,,,,,
Rework Checklist,checklist,,,,242 - Risers,,,,,,,
Rework Checklist,checklist,,,,243 - Risers,,,,,,,
Rework Checklist,checklist,,,,244 - Risers,,,,,,,
Rework Checklist,checklist,,,,245 - Risers,,,,,,,
Rework Checklist,checklist,,,,246 - Risers,,,,,,,
Rework Checklist,checklist,,,,247 - Risers,,,,,,,
Rework Checklist,checklist,,,,248 - Risers,,,,,,,
Rework Checklist,checklist,,,,249 - Risers,,,,,,,
Rework Checklist,checklist,,,,250 - Risers,,,,,,,
Rework Checklist,checklist,,,,251 - Risers,,,,,,,
Rework Checklist,checklist,,,,252 - Risers,,,,,,,
Rework Checklist,checklist,,,,253 - Risers,,,,,,,
Rework Checklist,checklist,,,,254 - Risers,,,,,,,
Rework Checklist,checklist,,,,255 - Risers,,,,,,,
Rework Checklist,checklist,,,,256 - Risers,,,,,,,
Rework Checklist,checklist,,,,270 - Circulation,,,,,,,
Rework Checklist,checklist,,,,280 - BOH,,,,,,,
Rework Checklist,checklist,,,,295 - Stair 1,,,,,,,
Rework Checklist,checklist,,,,296 - Stair 2,,,,,,,
,step,,,Level 3,,,,,,,,
Rework Checklist,checklist,,,,301 - Room,,,,,,,
Rework Checklist,checklist,,,,302 - Room,,,,,,,
Rework Checklist,checklist,,,,303 - Room,,,,,,,
Rework Checklist,checklist,,,,304 - Room,,,,,,,
Rework Checklist,checklist,,,,305 - Room,,,,,,,
Rework Checklist,checklist,,,,306 - Room,,,,,,,
Rework Checklist,checklist,,,,307 - Room,,,,,,,
Rework Checklist,checklist,,,,308 - Room,,,,,,,
Rework Checklist,checklist,,,,309 - Room,,,,,,,
Rework Checklist,checklist,,,,310 - Room,,,,,,,
Rework Checklist,checklist,,,,311 - Room,,,,,,,
Rework Checklist,checklist,,,,312 - Room,,,,,,,
Rework Checklist,checklist,,,,313 - Room,,,,,,,
Rework Checklist,checklist,,,,314 - Room,,,,,,,
Rework Checklist,checklist,,,,315 - Room,,,,,,,
Rework Checklist,checklist,,,,316 - Room,,,,,,,
Rework Checklist,checklist,,,,317 - Room,,,,,,,
Rework Checklist,checklist,,,,318 - Room,,,,,,,
Rework Checklist,checklist,,,,319 - Room,,,,,,,
Rework Checklist,checklist,,,,320 - Room,,,,,,,
Rework Checklist,checklist,,,,321 - Room,,,,,,,
Rework Checklist,checklist,,,,322 - Room,,,,,,,
Rework Checklist,checklist,,,,323 - Room,,,,,,,
Rework Checklist,checklist,,,,324 - Room,,,,,,,
Rework Checklist,checklist,,,,325 - Room,,,,,,,
Rework Checklist,checklist,,,,326 - Room,,,,,,,
Rework Checklist,checklist,,,,327 - Room,,,,,,,
Rework Checklist,checklist,,,,328 - Room,,,,,,,
Rework Checklist,checklist,,,,329 - Room,,,,,,,
Rework Checklist,checklist,,,,330 - Room,,,,,,,
Rework Checklist,checklist,,,,341 - Risers,,,,,,,
Rework Checklist,checklist,,,,342 - Risers,,,,,,,
Rework Checklist,checklist,,,,343 - Risers,,,,,,,
Rework Checklist,checklist,,,,344 - Risers,,,,,,,
Rework Checklist,checklist,,,,345 - Risers,,,,,,,
Rework Checklist,checklist,,,,346 - Risers,,,,,,,
Rework Checklist,checklist,,,,347 - Risers,,,,,,,
Rework Checklist,checklist,,,,348 - Risers,,,,,,,
Rework Checklist,checklist,,,,349 - Risers,,,,,,,
Rework Checklist,checklist,,,,350 - Risers,,,,,,,
Rework Checklist,checklist,,,,351 - Risers,,,,,,,
Rework Checklist,checklist,,,,352 - Risers,,,,,,,
Rework Checklist,checklist,,,,353 - Risers,,,,,,,
Rework Checklist,checklist,,,,354 - Risers,,,,,,,
Rework Checklist,checklist,,,,355 - Risers,,,,,,,
Rework Checklist,checklist,,,,356 - Risers,,,,,,,
Rework Checklist,checklist,,,,357 - Risers,,,,,,,
Rework Checklist,checklist,,,,370 - Circulation,,,,,,,
Rework Checklist,checklist,,,,380 - BOH,,,,,,,
Rework Checklist,checklist,,,,395 - Stair 1,,,,,,,
Rework Checklist,checklist,,,,396 - Stair 2,,,,,,,
