resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,
,step,,,Interior Painting,,,,,,,,,,,,,,,,,,,
,step,,,,Basement 1,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B001. STAFF LOCKERS F,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B002. ARCHIVE ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B003. WORKSHOP,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B004. LIQUOR / GENERAL STORAGE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B005. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B006. UNIFORMS,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B007. STAIR 2,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B008. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B009. BOH CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B010. FIRE PUMP ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B011. DCW PUMP ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B012. CHIEF ENG,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B013. STAFF LOCKERS M,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,B014. STAFF CHANGE ACC,,,,,,,,,,,,,,,,,
,step,,,,Fire Egress 01,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,028. FIRE EGRESS 01,,,,,,,,,,,,,,,,,
,step,,,,Ground,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,001. LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,002. LOBBY / RECEPTION,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,003. CAFE PREP AREA,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,004. ACC / TOILET,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,005. WC UNISEX,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,006. WC (F),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,007. WC (M),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,008. TOILET LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,009. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,010. LUGGAGE / STORE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,011. FOH OFFICE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,012. FOH MGR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,013. COMMS,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,014. TANK STORE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,015. FIRE EGRESS 02,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,016. WASTE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,017. GENERATOR ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,018. LANEWAY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,019. MSB ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,020. TRANSFORMER ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,021. METER ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,022. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,023. BICYCLE STORE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,024. FIRE EGRESS 01,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,025. FSA,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,026. FSA LANDING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,026. STAIR 3,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,027. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 1,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,101. FUNCTION ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,102. RESTAURANT,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,103. BUFFET,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,104. STORE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,105. MEETING ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,106. PRE-FUNCTION,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,107. STAIR 3,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,108. CHEF'S OFFICE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,109. DISHWASH AREA,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,110. PRODUCTION KITCHEN,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,111. COOLROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,112. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,113. BOH CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,114. DRY STORE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,115. WC5,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,116. WC4,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,117. FIRST-AID,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,118. HR OFFICE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,119. ACCOUNTS,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,120. GM OFFICE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,121. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,122. FOH CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,123. WC1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,124. WC2,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,125. WC3,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,126. BOH CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,127. STAIR 2,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,128. BOH OFFICE,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,129. STAFF CANTEEN,,,,,,,,,,,,,,,,,
,step,,,,Level 2,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,201. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,202. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,203. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,204. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,205. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,206. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,207. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,208. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,209. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,210. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,211. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,212. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,213. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,214. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,215. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,216. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,217. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,218. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,219. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,220. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,221. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,222. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,223. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,224. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,225. HOUSEKEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,226. SERVICE LOBBY,,,,,,,,,,,,,,,,,
,step,,,,Level 3,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,301. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,302. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,303. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,304. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,305. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,306. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,307. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,308. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,309. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,310. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,311. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,312. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,313. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,314. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,315. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,316. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,317. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,318. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,319. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,320. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,321. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,322. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,323. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,324. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,325. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,326. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,327. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 4,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,401. ROOM,,,,,,,,,,,,,,,,,
